Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0004604787682183087,0.00021920070867054164,State_Mid
actuator_only_0p02,20,0.0004903278895653784,0.0002258840686408803,State_Mid
actuator_only_0p1,20,0.00023934179625939578,0.00012000258720945567,State_Mid
state_only_0p01,20,0.0002274341240990907,0.00012565997894853354,State_Mid
state_only_0p05,20,0.0007983414689078927,0.0004423347709234804,State_Mid
baseline_clean,30,0.0002231298276456073,7.930461288196966e-05,State_Mid
actuator_only_0p02,30,0.0002283904468640685,8.186067861970514e-05,State_Mid
actuator_only_0p1,30,0.0001735580590320751,3.7042333133285865e-05,State_Mid
state_only_0p01,30,0.00020197630510665476,7.528777496190742e-05,State_Mid
state_only_0p05,30,0.0004095161275472492,0.00022997177438810468,State_Mid
baseline_clean,40,0.0002064120926661417,3.3280750358244404e-05,State_Mid
actuator_only_0p02,40,0.00021380693942774087,3.392057624296285e-05,State_Mid
actuator_only_0p1,40,0.00021354344789870083,3.792799179791473e-05,State_Mid
state_only_0p01,40,0.00010775708506116644,2.1629381080856547e-05,State_Mid
state_only_0p05,40,0.0002596225531306118,0.0001275578688364476,State_Mid
baseline_clean,60,0.0003284399281255901,9.780914115253836e-05,State_Mid
actuator_only_0p02,60,0.0003353868087287992,9.967794176191092e-05,State_Mid
actuator_only_0p1,60,0.0003717875515576452,0.000116883878945373,State_Mid
state_only_0p01,60,0.00013799240696243942,2.8417651265044697e-05,State_Mid
state_only_0p05,60,0.00020215830591041595,6.817270332248881e-05,State_Mid
baseline_clean,80,0.0006427863263525069,0.00019897986203432083,State_Mid
actuator_only_0p02,80,0.0006302707479335368,0.00022764802270103246,State_Mid
actuator_only_0p1,80,0.0006118581513874233,0.00023454199254047126,State_Mid
state_only_0p01,80,0.0002251186378998682,5.3199721151031554e-05,State_Mid
state_only_0p05,80,0.0002154601097572595,6.237906927708536e-05,State_Mid
baseline_clean,100,0.002006473485380411,0.0005527902976609766,State_Mid
actuator_only_0p02,100,0.0020350487902760506,0.0005669375532306731,State_Mid
actuator_only_0p1,100,0.0014799436321482062,0.00039053201908245683,State_Mid
state_only_0p01,100,0.00035081361420452595,9.597696043783799e-05,State_Mid
state_only_0p05,100,0.0002420087403152138,6.334334466373548e-05,State_Mid
