dataset,metric,mean,std
503_wind_sample_1314,mse,0.00752404591766445,0.0009465269687489128
503_wind_sample_1314,aug_mse,0.0069703759827975,0.0009245334921914353
503_wind_sample_1314,delta_mse,-7.220915919183994,5.815153700978798
503_wind_sample_1314,p_wilcoxon,0.0010416666666666667,0.00024359748611809518
503_wind_sample_1314,should_proceed,0.9333333333333333,0.24944382578492946
503_wind_sample_2628,mse,0.00621355906254128,0.0006330271290573323
503_wind_sample_2628,aug_mse,0.005619145727325011,0.00041016756625977856
503_wind_sample_2628,delta_mse,-9.172482586287849,5.493115511508826
503_wind_sample_2628,p_wilcoxon,0.011848958333333333,0.033909585049434414
503_wind_sample_2628,should_proceed,0.9333333333333333,0.24944382578492946
503_wind_sample_3942,mse,0.005930030891680882,0.0002840572348795465
503_wind_sample_3942,aug_mse,0.005394933837995265,0.0003150533143903302
503_wind_sample_3942,delta_mse,-9.033854241259284,2.732863384254071
503_wind_sample_3942,p_wilcoxon,0.008072916666666667,0.016012713573446666
503_wind_sample_3942,should_proceed,0.6666666666666666,0.47140452079103173
503_wind_sample_5256,mse,0.005674505334314856,0.00032806091092166245
503_wind_sample_5256,aug_mse,0.005325649847023701,0.00032786487310202495
503_wind_sample_5256,delta_mse,-6.15292149225658,1.6647155421898558
503_wind_sample_5256,p_wilcoxon,0.04388020833333333,0.045836015102651013
503_wind_sample_5256,should_proceed,0.5333333333333333,0.4988876515698588
503_wind_sample_6570,mse,0.0052975485249464075,0.00015308450305443727
503_wind_sample_6570,aug_mse,0.005002487430860205,0.00016247336513107737
503_wind_sample_6570,delta_mse,-5.563648193894996,1.8005880370288605
503_wind_sample_6570,p_wilcoxon,0.07825520833333334,0.10925743930064773
503_wind_sample_6570,should_proceed,0.4666666666666667,0.49888765156985887
