init_top20,ori_top20
-12.300000190734863,-11.0
-11.300000190734863,-10.8
-11.100000381469728,-10.6
-10.899999618530272,-10.4
-10.699999809265137,-10.3
-10.600000381469728,-10.1
-10.600000381469728,-10.1
-10.399999618530272,-10.1
-10.399999618530272,-10.0
-10.300000190734863,-10.0
-10.300000190734863,-10.0
-10.300000190734863,-10.0
-10.300000190734863,-9.9
-10.199999809265137,-9.8
-10.100000381469728,-9.8
-10.100000381469728,-9.7
-10.0,-9.7
-9.899999618530272,-9.6
-9.899999618530272,-9.6
-9.899999618530272,-9.6
