M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.35,1.18,1.20,1.10
1024,1.00,1.32,1.19,1.17,1.10
2048,1.00,1.31,1.17,1.13,1.05
4096,1.00,1.31,1.17,1.14,1.05
8192,1.00,1.28,1.16,1.12,1.04
16384,1.00,1.27,1.14,1.11,1.04
32768,1.00,1.23,1.14,1.10,1.04
65536,1.00,1.25,1.11,1.09,1.01
