M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.09,1.02,0.97,0.90
1024,1.00,1.12,0.91,0.88,0.85
2048,1.00,1.10,0.90,0.86,0.83
4096,1.00,1.04,0.86,0.83,0.79
8192,1.00,1.10,0.91,0.88,0.85
16384,1.00,1.10,0.92,0.88,0.85
32768,1.00,1.12,0.93,0.88,0.85
65536,,,,,
