M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.24,1.07,1.06,0.97
1024,1.00,1.38,1.19,1.11,1.05
2048,1.00,1.39,1.19,1.12,1.08
4096,1.00,1.37,1.14,1.08,1.05
8192,1.00,3.35,2.82,2.54,2.53
16384,1.00,0.23,1.11,1.06,0.13
32768,1.00,1.33,1.11,1.05,1.01
65536,,,,,
