M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,2272.478,13913.303,11954.004,11800.672,10711.079
1024,11409.335,15317.112,13440.958,12965.665,12264.976
2048,11167.440,15708.077,14004.501,13339.572,12546.112
4096,10281.080,14881.166,13515.048,12721.352,11987.858
8192,11130.175,14660.507,13460.934,12611.192,11934.511
16384,11315.596,14803.873,13372.871,12695.710,12121.384
32768,3842.408,11458.543,13180.199,12511.926,12072.889
65536,11602.507,14859.161,13159.705,12530.283,12047.786
