M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,26982.156,29575.712,26383.520,24719.224,24935.782
1024,30672.515,31915.825,28497.509,27720.878,26260.890
2048,32253.954,34193.968,30305.959,28459.119,27818.170
4096,31864.974,33881.105,29531.436,29020.455,27236.792
8192,31253.867,32798.491,29352.787,28484.294,27271.046
16384,31250.236,33022.430,30256.126,28947.665,27914.416
32768,31892.376,33954.584,30788.688,29442.883,28225.655
65536,32365.499,34319.783,30907.729,29220.827,28520.411
