M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,1.00,1.08,1.02,1.01,0.95
1024,1.00,1.07,0.96,0.93,0.91
2048,1.00,1.07,0.93,0.89,0.86
4096,1.00,1.03,0.90,0.87,0.85
8192,1.00,1.07,0.93,0.90,0.87
16384,1.00,1.08,0.94,0.91,0.87
32768,1.00,1.05,0.93,0.88,0.88
65536,,,,,
