M,cuBLAS,cusparse_2_4,cusparse_2_6,cusparse_2_8,cusparse_2_10
512,5829.669,6348.766,5948.673,5679.840,5230.074
1024,6782.138,7611.075,6201.389,5983.646,5765.212
2048,6910.514,7590.025,6185.838,5962.322,5738.757
4096,7058.177,7336.612,6052.659,5845.991,5593.375
8192,6791.093,7444.302,6191.222,5999.450,5758.161
16384,6802.101,7511.972,6264.854,6008.470,5748.031
32768,6807.209,7625.993,6350.939,5989.391,5772.713
65536,,,,,
