"model","actual_accuracy","n_items"
"222gate/Blur-4x7b-MOE-v0.1",0.695497630331754,844
"abacusai/Smaug-Mixtral-v0.1",0.713270142180095,844
"abhishek/autotrain-xva0j-mixtral8x7b",0.562796208530806,844
"abideen/MonarchCoder-MoE-2x7B",0.686018957345972,844
"abideen/NexoNimbus-MoE-2x7B",0.625592417061611,844
"AetherResearch/Cerebrum-1.0-8x7b",0.630331753554502,844
"AIGeekLabs/radiantloom-mixtral-8x7b-fusion",0.578199052132701,844
"alykassem/ds_diasum_md_mixtral",0.610189573459716,844
"amu/zen_moe",0.587677725118483,844
"andysalerno/cloudymixtral7Bx2-nectar-0.2",0.637440758293839,844
"Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled",0.656398104265403,844
"argilla/notus-8x7b-experiment",0.675355450236967,844
"argilla/notux-8x7b-v1",0.66824644549763,844
"argilla/notux-8x7b-v1-epoch-2",0.670616113744076,844
"arlineka/Brunhilde-2x7b-MOE-DPO-v.01.5",0.659952606635071,844
"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",0.652843601895735,844
"Cartinoe5930/MoE-Merging",0.603080568720379,844
"ChaoticNeutrals/RPMix-4x7B-MoE",0.682464454976303,844
"chargoddard/average-dolphin-8x7B",0.636255924170616,844
"chargoddard/mixtralmerge-8x7B-rebalanced-test",0.632701421800948,844
"chargoddard/MixtralRPChat-ZLoss",0.638625592417062,844
"cloudyu/19B_MATH_DPO",0.674170616113744,844
"cloudyu/19B_TRUTH_DPO",0.681279620853081,844
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.696682464454976,844
"cloudyu/60B_MoE_Coder_v3",0.672985781990521,844
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",0.659952606635071,844
"cloudyu/Mixtral_11Bx2_MoE_19B",0.675355450236967,844
"cloudyu/Mixtral_13B_Chat",0.632701421800948,844
"cloudyu/Mixtral_34Bx2_MoE_60B",0.669431279620853,844
"cloudyu/Mixtral_7Bx2_MoE",0.682464454976303,844
"cloudyu/Mixtral_7Bx2_MoE_13B",0.595971563981043,844
"cloudyu/Mixtral_7Bx2_MoE_DPO",0.708530805687204,844
"cloudyu/mixtral_7bx4_moe",0.60781990521327,844
