"X","a1","d","g","u"
"X1",3.92595540628115,2.2322104938641,0.779661488202076,1
"X2",1.09363137678844,4.08270572487733,0.245162098628792,1
"X3",1.78948187888027,1.82102220968137,0.0976920513319991,1
"X5",1.41236165037384,3.28801116953674,0.524308905021329,1
"X6",-0.446556179318446,2.05819471860807,0.00132128181156137,1
"X7",8.53630289077381,-7.75911181024282,0.098313537830463,1
"X8",7.89416750067935,4.27725150335927,0.70715352621235,1
"X10",2.25118633319408,6.64864015097724,0.237552329669055,1
"X11",2.45849769989194,10.4354706993447,0.333523124005772,1
"X12",4.03594541004571,2.236501726035,0.447445168488735,1
"X13",2.07551213331083,2.67334660290079,0.789493611417689,1
"X15",3.05482139059267,-2.58886425859463,0.14503627434867,1
"X16",2.80512500688279,-1.10342479868243,0.193909493841848,1
"X17",1.58598097274695,-2.34853038836895,0.104315713578571,1
"X18",0.0674307480246146,0.744284559567453,0.0514414857257965,1
"X19",2.59529499224774,6.18438028288583,0.258068405132588,1
"X20",3.51582888588207,3.85521703620018,0.528694837749026,1
"X21",3.74364366207628,1.49444827995202,0.525121022660815,1
"X24",1.18685610745092,4.69504391849414,0.246474051985992,1
"X26",5.80939732383746,-3.16497901344831,0.166068564332645,1
"X27",0.856849258749537,-0.959672067252391,0.00543361426957004,1
"X28",0.727278948231098,-7.96405135664504,0.000202562772075973,1
"X29",0.545857965430714,1.00029014199979,0.0692924473337682,1
"X30",-0.0141381042970363,-2.27232997044553,0.0682187282488694,1
"X31",9.8803668158431,-10.4669167988045,0.307363771306848,1
"X32",3.44836948098369,5.77597593763864,0.558747869836914,1
"X35",1.14670626916731,0.107274701984249,0.31461250729018,1
"X36",0.562043635292412,-8.46036147589315,0.00342109510263436,1
"X37",0.653686691755473,0.123993679364721,0.00243415770020941,1
"X39",-1.0107299540396,-3.58416459802657,0.000380607853378706,1
"X40",-2.97817628505815,-10.7601014565771,0.0124772761383917,1
"X41",3.44628160869303,-0.215900593464204,0.668649206097862,1
"X42",1.99457189048302,5.63798477992779,0.526106800465631,1
"X43",2.42077484289566,7.79992678928516,0.142215171726902,1
"X44",0.847308161526288,-6.23083349935135,0.000341766137004075,1
"X45",1.87235688682943,1.59672315330691,0.622185727699688,1
"X48",5.21585071589825,-2.82148584060323,0.219104522123308,1
"X49",1.61937438816812,5.6469765727457,0.0665903726140756,1
"X50",1.64293479881201,7.75325263608101,0.214107041265611,1
"X52",1.23316891696663,4.96157591314587,0.130088227033729,1
"X53",0.517870384317875,-4.13924707425432,0.000459702652507417,1
"X54",2.97625186837297,6.83467268040739,0.511545155085613,1
"X55",0.694876153385164,2.66434835361471,0.0171558083789485,1
"X56",1.70750985385336,3.6292056704822,0.660720786068118,1
"X57",2.49540521583738,1.99280980523984,0.179504429434317,1
"X58",3.89702019205451,1.81896720111844,0.866687522207961,1
"X59",4.87334625150284,-3.91646821379858,0.0519297222267927,1
"X60",1.9941684837755,1.19420194735945,0.14100428866895,1
"X61",-0.359616776422038,-2.65338588757212,0.000867705708024295,1
"X62",2.23734662585606,3.19825474966843,0.603216029435327,1
"X64",0.361214076274081,1.60563070856113,0.0115884898576361,1
"X65",0.951044975313274,-7.257719320511,0.000832462712466386,1
"X67",2.42762971425903,4.03763319703187,0.652247173883245,1
"X68",8.37253664493696,-5.66714679434617,0.42965401554623,1
"X69",0.0819160949867752,-0.593117641289415,0.0264653429282151,1
"X70",2.90501039617804,7.78767044997736,0.412575037464795,1
"X72",-1.3158945537287,-5.60417689234929,0.00344034747283158,1
"X73",1.95494912406923,6.54677221162091,0.0662204110514172,1
"X76",4.22963489899231,2.01441392276807,0.508045757862867,1
"X77",-0.368898677824411,-1.17683669877115,0.000132236913453287,1
"X78",4.26440711523231,5.50276720993821,0.711079437401087,1
"X82",1.16301992793402,0.583153714274834,0.249891467070442,1
"X84",3.26394377663919,-1.11172388632421,0.326313001183591,1
"X85",3.86830379431869,5.57938259013271,0.548818108514372,1
"X86",5.18982456360306,-3.41531050518167,0.294402326726224,1
"X88",0.0293829265126018,0.626555854026278,4.1420485048235e-05,1
"X89",-1.37520054519517,-6.24091537702537,0.000108529223744022,1
"X90",-1.22799832974035,-5.33740755956762,0.000275776974118189,1
"X91",1.7980328564496,7.34580396012463,0.187138554392276,1
"X93",2.90743113239189,1.14866967957153,0.319636909159887,1
"X94",2.62833016431179,1.50977892601999,0.459026067785397,1
"X95",3.79284994839332,4.43269541278264,0.333139020106599,1
"X96",2.59681915673185,0.747810281003665,0.109410766026668,1
"X97",5.77861357174708,-3.52786882867919,0.397513044308206,1
"X98",3.34380752204038,4.53227916977958,0.830043132739695,1
"X99",6.1220424456679,-4.93900593003882,0.0953187325041098,1
"X100",1.80140937027377,5.80078097571504,0.0708535995194782,1
"X103",12.6514699896817,-3.74782701680942,0.62813491086089,1
"X105",8.28993454864007,-10.8551482373717,0.0825229630629067,1
"X106",4.6589943713799,9.92942954372089,0.561388256393683,1
"X107",-2.89997137163761,-11.4798001569797,0.00114865328322256,1
"X108",4.4438955675616,-4.15560862543346,0.356807084086875,1
"X109",3.84403083704298,9.16774474547542,0.697455019945699,1
"X111",0.134205591825165,0.671400004373221,0.0237710107560462,1
"X112",-3.15138829300619,-12.0777279823718,0.00082248141921353,1
"X114",1.61444256876932,-3.94857833511063,0.0497602318450961,1
"X115",5.0644538564175,4.4041658684356,0.925596671578072,1
"X116",4.52970516174398,5.19240342945388,0.402384199727083,1
"X117",-0.623821344254191,-1.78182502831782,0.0653595418909094,1
"X118",8.33328061425541,4.32632473347256,0.901896986350979,1
"X119",6.09072719217018,-7.67054140176575,0.204352063316336,1
"X120",3.02373529295875,2.64334626105502,0.880097291818524,1
"X121",12.5167194670723,-11.5514611525944,0.446270999255756,1
"X124",0.873492702838236,-3.18248906727929,0.286006736023222,1
"X127",5.98334022395081,-0.697088789834384,0.302007776380078,1
