file                                 , total          , up             , down           , avg_compute   , node_fail, full_recovery, stack1, stack2, stack3, stack4, stack5, stack6, stack7, stack8, stack9, stack10, stack11, stack12, stack13, stack14, stack15, stack16, stack17, stack18, stack19, stack20, stack21, stack22, stack23, stack24, stack25, stack26, recompute
run_1_dpr_exponential_N1000_r6.log   ,  4792457.780822,  4582995.543822,   209462.237000, 3020245.637372,     15177,            30,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r7.log   ,  5528993.737113,  5325989.710716,   203004.026396, 3359262.969308,     16838,            29,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r8.log   ,  6237433.336353,  6055088.275252,   182345.061101, 3611702.891295,     18196,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r9.log   ,  6988695.882746,  6801946.965427,   186748.917319, 3826527.439506,     20067,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r10.log  ,  7707294.245094,  7532879.359430,   174414.885664, 4057127.071905,     21460,            25,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r11.log  ,  8440580.666083,  8262297.429480,   178283.236603, 4237190.710705,     22599,            25,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r12.log  ,  9159327.541774,  8992416.094526,   166911.447248, 4363305.963089,     23884,            23,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r13.log  ,  9917539.165683,  9735468.252456,   182070.913228, 4722221.094941,     25259,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r14.log  , 10647476.017756, 10465791.288595,   181684.729161, 4874779.141288,     26478,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r15.log  , 11414125.225136, 11233474.724987,   180650.500149, 5080659.755226,     27689,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r16.log  , 12098767.205135, 11924869.249384,   173897.955751, 5133380.450208,     28537,            25,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r17.log  , 12860329.212493, 12675502.692131,   184826.520362, 5451563.849301,     29486,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r18.log  , 13571630.149707, 13396002.032903,   175628.116804, 5422972.826387,     30382,            25,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r19.log  , 14321696.157686, 14140937.093213,   180759.064472, 5688624.705370,     31201,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r20.log  , 15080529.908080, 14883398.363967,   197131.544113, 6061195.502079,     32868,            28,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r21.log  , 15842342.640659, 15647972.836649,   194369.804010, 6122445.187877,     33672,            28,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r22.log  , 16515944.814750, 16330419.296588,   185525.518161, 5980567.214923,     33813,            26,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r23.log  , 17252349.226675, 17063446.206024,   188903.020651, 6228149.768708,     34733,            27,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_1_dpr_exponential_N1000_r24.log  , 17985061.271730, 17800934.695673,   184126.576057, 6343485.238104,     35558,            27,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
