Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3367,5273,8640,0.3897,1.416
LRU,3895,4745,8640,0.4508,1.274
Marker,3752,4888,8640,0.4343,1.312
OnlineMin,3232,5408,8640,0.3741,1.452
Predict[POPU],3077,5563,8640,0.3561,1.493
PredMark[POPU],3888,4752,8640,0.45,1.276
LMarker[POPU],3893,4747,8640,0.4506,1.274
LNonMarker[POPU],3844,4796,8640,0.4449,1.288
FollowerRobust[POPUState],3809,4831,8640,0.4409,1.297
PredictiveOnlineMin[POPU]-msf-100,3837,4803,8640,0.4441,1.289
RPB-OnlineMin[POPU]-msf-100-pb-0,3802,4838,8640,0.44,1.299
RPB-OnlineMin[POPU]-msf-100-pb-1,3825,4815,8640,0.4427,1.293
RPB-OnlineMin[POPU]-msf-100-pb-2,3812,4828,8640,0.4412,1.296
RPB-OnlineMin[POPU]-msf-100-pb-4,3804,4836,8640,0.4403,1.298
RPB-OnlineMin[POPU]-msf-100-pb-8,3811,4829,8640,0.4411,1.296
RPB-OnlineMin[POPU]-msf-100-pb-16,3758,4882,8640,0.435,1.311
RPB-OM-A[POPU]-msf-100-pb-0,3799,4841,8640,0.4397,1.300
RPB-OM-A[POPU]-msf-100-pb-1,3829,4811,8640,0.4432,1.292
RPB-OM-A[POPU]-msf-100-pb-2,3825,4815,8640,0.4427,1.293
RPB-OM-A[POPU]-msf-100-pb-4,3803,4837,8640,0.4402,1.299
RPB-OM-A[POPU]-msf-100-pb-8,3813,4827,8640,0.4413,1.296
RPB-OM-A[POPU]-msf-100-pb-16,3760,4880,8640,0.4352,1.310
RPB-OM-B[POPU]-msf-100-pb-0-c-2.0,3821,4819,8640,0.4422,1.294
RPB-OM-B[POPU]-msf-100-pb-1-c-2.0,3842,4798,8640,0.4447,1.288
RPB-OM-B[POPU]-msf-100-pb-4-c-2.0,3791,4849,8640,0.4388,1.302
RPB-OM-B[POPU]-msf-100-pb-16-c-2.0,3755,4885,8640,0.4346,1.311
RPB-OM-B[POPU]-msf-100-pb-4-c-1.5,3778,4862,8640,0.4373,1.305
RPB-OM-B[POPU]-msf-100-pb-4-c-1.2,3799,4841,8640,0.4397,1.300
"CombDet[Predict[POPU], LRU]",3799,4841,8640,0.4397,1.300
"CombineRandom[Predict[POPU], LRU]",3124,5516,8640,0.3616,1.481
