seed,dim,hidden_dim,max_steps,torque_noise_std,noise_df,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,41,8,200,0.3,100.0,0.18666666666666665,0.16,2.132713710741579,0.2574657310025418
2,41,8,200,0.3,100.0,0.19555555555555554,0.18666666666666665,5.172989693793544,0.3385890329535164
3,41,8,200,0.3,100.0,0.19555555555555554,0.13333333333333333,4.6334296878665135,0.44548628224326337
4,41,8,200,0.3,100.0,0.2577777777777778,0.19555555555555554,1.8789634966394777,0.19290978214934143
5,41,8,200,0.3,100.0,0.17777777777777776,0.24888888888888888,3.344281658823412,0.24366771696643552
6,41,8,200,0.3,100.0,0.23111111111111113,0.14222222222222222,2.4254638371028694,0.21319412148561623
7,41,8,200,0.3,100.0,0.19555555555555554,0.24000000000000002,9.771511707765002,0.18324029049546167
8,41,8,200,0.3,100.0,0.20444444444444446,0.10666666666666667,2.8315984076951906,0.2161873839226024
9,41,8,200,0.3,100.0,0.3377777777777778,0.22222222222222224,5.425344657673552,0.355551047479012
10,41,8,200,0.3,100.0,0.3111111111111111,0.2577777777777778,4.080214318768058,0.2820107519798327
11,41,8,200,0.3,100.0,0.12444444444444444,0.20444444444444446,4.9084276516754795,0.2590071979384421
12,41,8,200,0.3,100.0,0.16,0.16,3.044239991995412,0.236654843520477
13,41,8,200,0.3,100.0,0.13333333333333333,0.12444444444444444,4.544809109006122,0.23732165378154302
14,41,8,200,0.3,100.0,0.1511111111111111,0.2577777777777778,4.7510282973532965,0.2486325545796308
15,41,8,200,0.3,100.0,0.22222222222222224,0.10666666666666667,1.8322067586312116,0.2836668851457136
16,41,8,200,0.3,100.0,0.22222222222222224,0.14222222222222222,5.238098600170443,0.2526719784764012
17,41,8,200,0.3,100.0,0.21333333333333335,0.23111111111111113,4.3536246705178785,0.22653919724574761
18,41,8,200,0.3,100.0,0.21333333333333335,0.2577777777777778,4.674071270622779,0.3436749857616058
19,41,8,200,0.3,100.0,0.16,0.16,9.190618047808282,0.22221265325588493
20,41,8,200,0.3,100.0,0.1688888888888889,0.22222222222222224,2.6305695214500133,0.2221657001427439
21,41,8,200,0.3,100.0,0.1688888888888889,0.23111111111111113,1.9211534902470835,0.23049719521174833
22,41,8,200,0.3,100.0,0.20444444444444446,0.20444444444444446,2.5798291585522044,0.24167850120333126
23,41,8,200,0.3,100.0,0.17777777777777776,0.24000000000000002,5.782164856782196,0.24874143344838756
24,41,8,200,0.3,100.0,0.1688888888888889,0.24000000000000002,2.182448838860782,0.27439918007625236
25,41,8,200,0.3,100.0,0.1511111111111111,0.17777777777777776,5.401585703074898,0.2602324486287529
26,41,8,200,0.3,100.0,0.24888888888888888,0.09777777777777777,7.718519357006772,0.2501567220380669
27,41,8,200,0.3,100.0,0.1511111111111111,0.20444444444444446,6.212904735684935,0.3301862013635886
28,41,8,200,0.3,100.0,0.23111111111111113,0.18666666666666665,1.9290295348535522,0.2585668903459005
29,41,8,200,0.3,100.0,0.16,0.19555555555555554,2.7187441947955775,0.25714257066858276
30,41,8,200,0.3,100.0,0.16,0.24000000000000002,5.650455264262539,0.16697407780764578
31,41,8,200,0.3,100.0,0.20444444444444446,0.22222222222222224,4.754035813446006,0.2777587903514458
32,41,8,200,0.3,100.0,0.1688888888888889,0.36444444444444446,2.5914326642537846,0.14951391664971636
33,41,8,200,0.3,100.0,0.28444444444444444,0.20444444444444446,3.28981595449467,0.18132623981494422
34,41,8,200,0.3,100.0,0.1688888888888889,0.18666666666666665,2.4807331652280147,0.2996890149395852
35,41,8,200,0.3,100.0,0.18666666666666665,0.2577777777777778,2.57322122598993,0.20039389934684815
36,41,8,200,0.3,100.0,0.22222222222222224,0.18666666666666665,1.7664960010851984,0.25177652895414493
37,41,8,200,0.3,100.0,0.12444444444444444,0.1688888888888889,2.2111240463022663,0.2008113678069898
38,41,8,200,0.3,100.0,0.24000000000000002,0.17777777777777776,4.898778046723161,0.238062480186889
39,41,8,200,0.3,100.0,0.16,0.12444444444444444,3.779671878926052,0.24079320971365403
40,41,8,200,0.3,100.0,0.17777777777777776,0.08888888888888888,2.556402979151208,0.23998822875014372
41,41,8,200,0.3,100.0,0.3022222222222222,0.11555555555555556,2.776561869537534,0.18719941698664758
42,41,8,200,0.3,100.0,0.22222222222222224,0.17777777777777776,3.724156178376365,0.23643843478772364
43,41,8,200,0.3,100.0,0.17777777777777776,0.08,4.479188129387052,0.19149000506810404
44,41,8,200,0.3,100.0,0.12444444444444444,0.23111111111111113,2.3430661338307157,0.2578399870748247
45,41,8,200,0.3,100.0,0.12444444444444444,0.08,4.246168594555007,0.18160005544661417
46,41,8,200,0.3,100.0,0.24000000000000002,0.1688888888888889,3.853082190369138,0.21189155850703562
47,41,8,200,0.3,100.0,0.29333333333333333,0.17777777777777776,4.061902915321451,0.2576073168224373
48,41,8,200,0.3,100.0,0.13333333333333333,0.19555555555555554,3.577382896262328,0.2542763179716647
49,41,8,200,0.3,100.0,0.17777777777777776,0.24888888888888888,7.543580678795477,0.24129686751395615
50,41,8,200,0.3,100.0,0.20444444444444446,0.08888888888888888,1.9434323468637307,0.2707393920730459
