algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_return_mean,post_loss_median,post_loss_cvar20
BERW-HeteroRobust,1,328,328,540.7824827159108,927.9371901175468,-927.9371901175468,995.2278167059094,1163.1382540692475
BERW-HeteroRobust,2,328,328,133.64206573613626,736.5317784984624,-736.5317784984624,956.1655256758897,1499.039630554273
BERW-HeteroRobust,3,328,328,1.715664059317094,1015.1121833674058,-1015.1121833674058,915.4733772734073,1487.1091046153952
BERW-HeteroRobust,4,328,328,376.66589010664416,933.8159539905027,-933.8159539905027,890.1834721848223,1138.0040134989126
BERW-HeteroRobust,5,328,328,880.8707705109931,1082.722620337326,-1082.722620337326,1002.2608477142019,1431.1071613684874
BERW-HeteroRobust,6,328,328,824.9160146522017,1002.2090913569759,-1002.2090913569759,974.1179031837721,1243.394937630816
BERW-HeteroRobust,7,328,328,541.4461588902781,985.6667982106092,-985.6667982106092,999.8319227171644,1038.3664897716387
BERW-HeteroRobust,8,328,328,790.606513623815,1136.2245609593579,-1136.2245609593579,1131.4759662092783,1425.1758119144865
BERW-HeteroRobust,9,328,328,503.1659839259502,1122.8216418815878,-1122.8216418815878,1123.7914679072942,1209.5878464658892
BERW-HeteroRobust,10,328,328,804.3536783860786,1052.7566550220508,-1052.7566550220508,1003.7037960051554,1225.3500167812385
BERW-HeteroRobust,11,328,328,1.6221284073173547,1210.9869977207693,-1210.9869977207693,1235.8386862449415,1505.5588582228681
BERW-HeteroRobust,12,328,328,752.239735346835,1221.6165344002757,-1221.6165344002757,1156.57092757797,1532.319480674675
BERW-HeteroRobust,13,328,328,4.583615737571532,1269.8891847381456,-1269.8891847381456,1287.1417951305903,1704.8580160212691
BERW-HeteroRobust,14,328,328,718.7177066774549,1204.3080393722785,-1204.3080393722785,1235.4371876686955,1499.684290752267
BERW-HeteroRobust,15,328,328,731.123956393485,930.2407120311918,-930.2407120311918,881.3773203262383,1223.2540780439733
BERW-HeteroRobust,16,328,328,939.5248319673985,1127.5412136176442,-1127.5412136176442,1042.3501804959865,1478.5598489986892
BERW-HeteroRobust,17,328,328,506.16979041655287,1021.754819893292,-1021.754819893292,894.5877543699011,1507.1247703878655
BERW-HeteroRobust,18,328,328,617.5528847450153,833.9990629593528,-833.9990629593528,778.9784916038747,1001.180102201782
BERW-HeteroRobust,19,328,328,719.0195743998249,947.6475611576785,-947.6475611576785,950.138082275951,1219.6444549707674
BERW-HeteroRobust,20,328,328,771.7493101127641,1076.3624200610757,-1076.3624200610757,1096.1372555268567,1483.7157041598439
BERW-HeteroRobust,21,328,328,317.538577791692,1146.2563398571324,-1146.2563398571324,1067.1338545855479,1486.856830598508
BERW-HeteroRobust,22,328,328,764.3695922058793,941.0288465528515,-941.0288465528515,940.1358139402569,1053.3325813413098
BERW-HeteroRobust,23,328,328,16.67375380988959,991.5528569359187,-991.5528569359187,1069.5292271198884,1501.728494729662
BERW-HeteroRobust,24,328,328,5.457511464616655,893.6913852248288,-893.6913852248288,524.1908378316671,1495.8664362078255
BERW-HeteroRobust,25,328,328,533.8110546803337,947.6290163292286,-947.6290163292286,937.0703671894461,1026.3310855378588
BERW-HeteroRobust,26,328,328,871.0064737947177,1008.7312109535177,-1008.7312109535177,973.9088627836351,1270.0261785679063
BERW-HeteroRobust,27,328,328,794.24519605276,1205.3999636564681,-1205.3999636564681,1165.5045075077762,1720.4534547762678
BERW-HeteroRobust,28,328,328,1.9578476955386448,822.4048409257173,-822.4048409257173,826.16574257929,940.7415842686961
BERW-HeteroRobust,29,328,328,726.6617369035928,1052.3820867924387,-1052.3820867924387,1072.2310878530277,1485.8567037520259
BERW-HeteroRobust,30,328,328,643.0661751497752,914.1349039591873,-914.1349039591873,960.9267772512036,1092.6419462440701
BERW-HeteroRobust,31,328,328,9.127814094382751,1023.6942360881651,-1023.6942360881651,1379.1797786464958,1493.2981282890105
BERW-HeteroRobust,32,328,328,0.41461051804772303,931.0811353420717,-931.0811353420717,1155.6088586959756,1494.6498354672517
BERW-HeteroRobust,33,328,328,895.6479199903213,1108.2538136230858,-1108.2538136230858,1103.0583431469177,1296.0397473986397
BERW-HeteroRobust,34,328,328,639.7667543305379,1027.0936063031095,-1027.0936063031095,1022.4114916463257,1479.3581255127003
BERW-HeteroRobust,35,328,328,242.4491385671958,1015.2310015162859,-1015.2310015162859,1353.6659376714342,1493.9376855660541
BERW-HeteroRobust,36,328,328,765.5130560853677,923.9660014434317,-923.9660014434317,866.9005930451403,1240.1904595929193
BERW-HeteroRobust,37,328,328,934.6722788770832,1168.3411737863553,-1168.3411737863553,1172.6487925879896,1517.1175154632183
BERW-HeteroRobust,38,328,328,527.7768760223325,1093.9524471386858,-1093.9524471386858,1166.6918420510647,1490.427843030466
BERW-HeteroRobust,39,328,328,800.4948364822035,1106.3023665104233,-1106.3023665104233,1037.133268140356,1403.9108055553613
BERW-HeteroRobust,40,328,328,129.48901087429132,903.3690769683695,-903.3690769683695,994.2266730872816,1499.1840789745422
BERW-HeteroRobust,41,328,328,0.7233926211717909,1207.8156801479897,-1207.8156801479897,1229.5722304934443,1333.549112861552
BERW-HeteroRobust,42,328,328,245.95132314219623,1214.1275194937575,-1214.1275194937575,1143.6792405507854,1496.9485963369366
BERW-HeteroRobust,43,328,328,650.7784615102366,1094.2382504240645,-1094.2382504240645,1050.4555655351146,1458.9618768541075
BERW-HeteroRobust,44,328,328,893.7578321084242,1073.427699692701,-1073.427699692701,1087.3415715120736,1137.8555367412223
BERW-HeteroRobust,45,328,328,643.0153503442971,1023.8911960900841,-1023.8911960900841,1069.8498095644532,1249.5315692337495
BERW-HeteroRobust,46,328,328,666.3387482681584,1057.2780627844377,-1057.2780627844377,890.6427682203594,1516.992596858273
BERW-HeteroRobust,47,328,328,8.549630025455594,1004.5877381137219,-1004.5877381137219,966.6247544565406,1207.970702672864
BERW-HeteroRobust,48,328,328,483.16488196505793,942.1595194440006,-942.1595194440006,909.5062583551751,1271.3180297638755
BERW-HeteroRobust,49,328,328,366.24497735487404,919.8109256816688,-919.8109256816688,861.8235292210632,1385.9707453413093
BERW-HeteroRobust,50,328,328,840.1996047548148,972.171665009011,-972.171665009011,971.8968158095709,1087.8941498482222
CMA-ES-sep,1,328,328,164.02411646388737,1141.0568896638715,-1141.0568896638715,1114.0213251008545,1388.6096550203683
CMA-ES-sep,2,328,328,513.7836892125607,1073.031353654154,-1073.031353654154,960.1288754396901,1529.4343918872378
CMA-ES-sep,3,328,328,382.60639878913855,1051.3046266076663,-1051.3046266076663,975.7955212174245,1471.4194280456622
CMA-ES-sep,4,328,328,529.1521993065924,988.8841766987758,-988.8841766987758,947.1889630516454,1340.643680653528
CMA-ES-sep,5,328,328,644.3225837251191,1116.215064149705,-1116.215064149705,1123.8254860635302,1192.6837967370489
CMA-ES-sep,6,328,328,638.3477685457376,1045.9963990625738,-1045.9963990625738,1069.617956986793,1166.511000835521
CMA-ES-sep,7,328,328,789.3688194208446,998.0415460290761,-998.0415460290761,913.1036051576451,1311.9610572284937
CMA-ES-sep,8,328,328,651.4903943086617,1025.0576753397454,-1025.0576753397454,1058.8543518642539,1486.6278960830605
CMA-ES-sep,9,328,328,0.3956875710360682,698.8214170752709,-698.8214170752709,683.2479114632364,866.1458464344031
CMA-ES-sep,10,328,328,786.5277393912623,1270.7648585343427,-1270.7648585343427,1261.964991818052,1727.1500494528952
CMA-ES-sep,11,328,328,708.7238038803123,912.3304823105218,-912.3304823105218,856.2858356361979,1222.1978487903232
CMA-ES-sep,12,328,328,841.5884280912452,1019.2249767073481,-1019.2249767073481,1042.6286598701408,1120.2312627289643
CMA-ES-sep,13,328,328,905.688522944902,1107.622136394159,-1107.622136394159,982.6228815998119,1505.2090028379948
CMA-ES-sep,14,328,328,715.7163156104684,1117.3172190981431,-1117.3172190981431,1073.7460983833764,1499.7492829386924
CMA-ES-sep,15,328,328,410.250221113698,1061.0896956122033,-1061.0896956122033,961.9049602627438,1631.417921177768
CMA-ES-sep,16,328,328,652.8582787387334,984.7328409104628,-984.7328409104628,866.7150116306632,1442.7111261197251
CMA-ES-sep,17,328,328,834.9213592864563,1098.2723791239448,-1098.2723791239448,1118.9973627236202,1454.9833846869467
