Dataset,series,lag,lr,hidden_dim,dropout,layers,ind_lambda,int_lambda
CausalTime,1,3,0.0005,80,0,4,0.001,0
CausalTime,2,2,0.001,144,0.1,1,1,0
CausalTime,3,3,0.001,20,0.2,2,0.1,0
DREAM3,1,2,0.001,300,0.1,1,0.01,0
DREAM3,2,2,0.005,300,0.1,1,0.01,0
DREAM3,3,3,0.005,300,0,0,0.001,0
DREAM3,4,3,0.005,300,0.1,3,0.001,0
DREAM3,5,3,0.0005,400,0,5,0.0001,0
DREAM4,1,3,0.005,200,0.1,0,0.001,0
DREAM4,2,2,0.005,100,0.2,2,0.001,0
DREAM4,3,2,0.0005,100,0.1,0,0.01,0
DREAM4,4,2,0.0005,300,0.2,1,0.001,0
DREAM4,5,2,0.001,200,0.2,3,0.001,0
