Dataset,series,lag,lr,hidden_dim,dropout,layers,ind_lambda,int_lambda
CausalTime,1,3,0.005,100,0.2,2,0.01,0
CausalTime,2,3,0.0005,72,0.2,2,1,0.1
CausalTime,3,2,0.005,60,0.2,5,1,0.01
DREAM3,1,3,0.005,200,0,1,0.01,1
DREAM3,2,2,0.005,50,0.1,1,0.01,1
DREAM3,3,3,0.0005,400,0,2,0.1,1
DREAM3,4,5,0.005,200,0.2,5,0.1,1
DREAM3,5,3,0.001,400,0.1,5,0.001,0.001
DREAM4,1,2,0.0005,300,0.1,5,0.1,0.1
DREAM4,2,2,0.001,100,0,4,0.0001,1
DREAM4,3,2,0.005,400,0,1,0.1,1
DREAM4,4,3,0.0005,400,0,1,0.01,0.01
DREAM4,5,3,0.005,100,0.2,0,0.1,1
