target,decision_points,probe_key,loss,method,threshold,n,label_berw_rate,accuracy,pred_berw_rate,regret_mean,regret_median,regret_q90
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,450,0.3688888888888889,0.5955555555555555,0.5244444444444445,0.08674721090106093,0.0,0.33587849715155416
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,450,0.3688888888888889,0.5888888888888889,0.5666666666666667,0.10355946394168393,0.0,0.3482856306381626
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,450,0.3688888888888889,0.5888888888888889,0.5666666666666667,0.10355946394168393,0.0,0.3482856306381626
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,450,0.3688888888888889,0.5955555555555555,0.5244444444444445,0.08674721090106093,0.0,0.33587849715155416
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,450,0.3688888888888889,0.5977777777777777,0.4955555555555556,0.09026302550593035,0.0,0.3453671831188031
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,always_cma,,450,0.3688888888888889,0.6311111111111111,0.0,0.09225604346835509,0.0,0.28614881689556854
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,always_berw,,450,0.3688888888888889,0.3688888888888889,1.0,0.6404413971596298,0.03869670932211533,2.5423083539765896
bbob_B200_d20,evidence/bbob_noisy_probe_decision_accuracy_noisefree_i1-15_B200_d20/decision_points.csv,misranking_rd,log10,target_tuned,0.115,450,0.3688888888888889,0.5888888888888889,0.5666666666666667,0.10355946394168393,0.0,0.3482856306381626
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,150,0.6,0.76,0.6533333333333333,0.011971790872689816,0.0,0.021570583296530593
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,150,0.6,0.7733333333333333,0.6666666666666666,0.010786887046991827,0.0,0.017877828886266038
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,150,0.6,0.7733333333333333,0.6666666666666666,0.010786887046991827,0.0,0.017877828886266038
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,150,0.6,0.76,0.6533333333333333,0.011971790872689816,0.0,0.021570583296530593
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,150,0.6,0.7266666666666667,0.58,0.019295342018810197,0.0,0.11319091068470205
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,150,0.6,0.4,0.0,0.08735107680640582,0.027553118163225032,0.24275213755171496
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,150,0.6,0.6,1.0,0.013075313102766696,0.0,0.021836657382473985
logreg_synth,evidence/application_logreg_minibatch_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.005,150,0.6,0.7733333333333333,0.6666666666666666,0.010786887046991827,0.0,0.017877828886266038
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,150,0.52,0.6066666666666667,0.35333333333333333,0.09878253962621085,0.0,0.4024838919609259
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,150,0.52,0.68,0.5733333333333334,0.06226936983862693,0.0,0.1769269044880052
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,150,0.52,0.68,0.5733333333333334,0.06226936983862693,0.0,0.1769269044880052
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,150,0.52,0.6066666666666667,0.35333333333333333,0.09878253962621085,0.0,0.4024838919609259
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,150,0.52,0.56,0.18666666666666668,0.11514272604368231,0.0,0.40658617545893155
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,150,0.52,0.48,0.0,0.14895896149986526,0.0070827233436754344,0.49013613074729767
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,150,0.52,0.52,1.0,0.0998634383617407,0.0,0.35578420416511164
logreg_breast_cancer,evidence/application_logreg_minibatch_breast_cancer_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.005,150,0.52,0.72,0.6666666666666666,0.05897681593683712,0.0,0.2236229667047224
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,150,0.68,0.62,0.6333333333333333,0.04765020784456828,0.0,0.1724142553281325
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,150,0.68,0.64,0.6666666666666666,0.0452168223867539,0.0,0.16522024233927857
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,150,0.68,0.64,0.6666666666666666,0.0452168223867539,0.0,0.16522024233927857
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,150,0.68,0.62,0.6333333333333333,0.04765020784456828,0.0,0.1724142553281325
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,150,0.68,0.5866666666666667,0.5866666666666667,0.05405459268867383,0.0,0.1812018632882728
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,150,0.68,0.32,0.0,0.1256791575610196,0.06947678303398253,0.3405189903322293
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,150,0.68,0.68,1.0,0.0355725709206624,0.0,0.13702206718122653
logreg_digits0,evidence/application_logreg_minibatch_digits0_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.0,150,0.68,0.68,1.0,0.0355725709206624,0.0,0.13702206718122653
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,110,0.5454545454545454,0.5727272727272728,0.8090909090909091,0.0990867376911654,0.0,0.3215853736261932
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,110,0.5454545454545454,0.6363636363636364,0.9090909090909091,0.07303038700483402,0.0,0.2795208483486076
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,110,0.5454545454545454,0.6363636363636364,0.9090909090909091,0.07303038700483402,0.0,0.2795208483486076
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,110,0.5454545454545454,0.5727272727272728,0.8090909090909091,0.0990867376911654,0.0,0.3215853736261932
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,110,0.5454545454545454,0.5,0.6272727272727273,0.12418953243939652,0.0056279351217986395,0.3735988218440247
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,always_cma,,110,0.5454545454545454,0.45454545454545453,0.0,0.17700606978478714,0.05099697413882534,0.4905341844391326
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,always_berw,,110,0.5454545454545454,0.5454545454545454,1.0,0.07388366646438735,0.0,0.2795208483486076
mlp_digits0_heavytail_vs_noise_switch,evidence/application_mlp_minibatch_digits0_heavytail_sigma1p0_decision_accuracy_vs_noise_switch/decision_points.csv,misranking_rd,log10,target_tuned,0.005,110,0.5454545454545454,0.6363636363636364,0.9090909090909091,0.07303038700483402,0.0,0.2795208483486076
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,50,0.54,0.4,0.34,0.056222058549470474,0.011886246965264524,0.09431619954875109
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,50,0.54,0.48,0.78,0.05225403925126165,0.005079203853339154,0.09650900087698283
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,50,0.54,0.48,0.78,0.05225403925126165,0.005079203853339154,0.09650900087698283
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,50,0.54,0.4,0.34,0.056222058549470474,0.011886246965264524,0.09431619954875109
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,50,0.54,0.36,0.18,0.061480125811150865,0.017838596595734835,0.11140200662161641
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,50,0.54,0.46,0.0,0.053556036584120156,0.0061783451759531705,0.11140200662161641
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,50,0.54,0.54,1.0,0.033288348749744026,0.0,0.0909457576176159
lqr_heavytail_control,evidence/application_lqr_heavytail_control_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.09,50,0.54,0.56,0.9,0.035867858952020854,0.0,0.09240379348363521
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,50,0.32,0.62,0.06,0.04875522141948932,0.0,0.12685165770106072
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,50,0.32,0.56,0.36,0.05223086261893426,0.0,0.18526590122257403
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,50,0.32,0.56,0.36,0.05223086261893426,0.0,0.18526590122257403
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,50,0.32,0.62,0.06,0.04875522141948932,0.0,0.12685165770106072
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,50,0.32,0.66,0.02,0.04300189846165242,0.0,0.1138346097685525
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,50,0.32,0.68,0.0,0.04124838200458417,0.0,0.1138346097685525
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,50,0.32,0.32,1.0,0.06837142628903302,0.021922215994818084,0.18911974870997533
hpo_noisy_logreg_digits0_sigma1p0,evidence/application_hpo_noisy_logreg_digits0_sigma1p0_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.22,50,0.32,0.66,0.02,0.04300189846165242,0.0,0.1138346097685525
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B200,0.18,50,0.32,0.4,0.44,0.36280876393584743,0.1648646739622882,0.9117774958419391
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,bbob_B500,0.12,50,0.32,0.4,0.84,0.34255987240354846,0.14955741402183864,0.9122859363314499
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p12,0.12,50,0.32,0.4,0.84,0.34255987240354846,0.14955741402183864,0.9122859363314499
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p18,0.18,50,0.32,0.4,0.44,0.36280876393584743,0.1648646739622882,0.9117774958419391
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,fixed0p22,0.22,50,0.32,0.52,0.24,0.27092022475427163,0.0,0.8455809928345025
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,always_cma,,50,0.32,0.68,0.0,0.153085566978991,0.0,0.6391008553113164
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,always_berw,,50,0.32,0.32,1.0,0.3823158757299295,0.23401895230203063,0.9122859363314499
rl_cartpole_cma_vs_berw,evidence/application_rl_cartpole_heavytail_quadratic_cost_decision_accuracy/decision_points.csv,misranking_rd,log10,target_tuned,0.28500000000000003,50,0.32,0.64,0.04,0.16568048738142405,0.0,0.6391008553113164
