"Model_Name","Theta_ATLAS","Theta_WLE","SE","Num_Items","Time_Taken_Sec"
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",-0.913669156820311,-0.912919282654537,0.0908145192421755,30,0.798219919204712
"Alsebay/L3-krai-test",-0.753163863222563,-0.763654514120796,0.103396741630276,30,0.733259916305542
"AA051610/FT",-0.578546021570116,-0.640145136320204,0.111790274307941,30,0.804386377334595
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.316275631364894,0.250545904124029,0.136021682595727,30,0.499561548233032
"SC99/Mistral-7B-privatemix-ia3",1.65004078643224,1.94361544780321,0.192670621468307,30,0.777400970458984
"VAGOsolutions/SauerkrautLM-14b-MoE-LaserChat",0.335495560945242,0.116359182789394,0.141891356430382,30,0.597556114196777
"nlpguy/Hermes-low-tune-3.1",0.144446328383136,0.161336518577884,0.132837215760428,30,0.493614912033081
"leejaymin/etri-ones-solar",-0.512507513067811,-0.539417974996023,0.116134945131569,30,0.674808740615845
"Weyaxi/Stellaris-internlm2-20b-r512",-0.948372375614958,-0.688620672588952,0.0863965466271805,30,0.830963134765625
"frankenmerger/delta-4B-super",-0.813828539370001,-0.911890998631449,0.101807586503176,30,0.818928480148315
"YeungNLP/firefly-zephyr-6x7b-lora",-0.449286282158884,-0.483341097626806,0.115885120098579,30,0.619351863861084
"leveldevai/BeagleMist-7B",0.825305882676449,1.03357524569251,0.148775817761136,30,1.0035412311554
"eren23/slerp-test-turdus-beagle",1.59085801932039,1.95886073893632,0.186307756448634,30,0.831387996673584
"Changgil/K2S3-Llama2-13b-v1.0",-0.974324074955978,-1.21083546320136,0.084107855508821,30,0.525553941726685
"Gille/StrangeMerges_4-7B-slerp",0.562502414654904,0.625457371591598,0.142086684612705,30,0.505117416381836
"uukuguy/speechless-llama2-13b",-0.665256349596784,-0.671760460997031,0.109090612954447,30,0.773019313812256
"chlee10/T3Q-platypus-SOLAR-10.7B-v1.0",-0.557064450834375,-0.540738394673074,0.112092928360745,30,0.550750732421875
"fzzhang/mistralv1_gsm8k_merged_s",-0.466998342344712,-0.433496294902989,0.129984277988026,30,0.614362239837646
"allknowingroger/JaskierMistral-7B-slerp",3.02937035353929,3.04541253158755,0.299255296578951,88,1.81041550636292
"upaya07/Birbal-7B-V1",-0.145222161270425,-0.314493992490851,0.126336014938198,30,0.614200115203857
"P0x0/IceMerge-7b-32k",-0.0444842038043341,0.0169426994501288,0.127676920889849,30,0.50371265411377
"EleutherAI/llemma_34b",-0.914759040047522,-1.0638651457731,0.0905726217124487,30,0.478544473648071
"Xenon1/MetaModel_moex8",0.128652833272465,0.1401842753433,0.131802802213164,30,0.483058452606201
"Antonio88/TaliML-7B-V.1-ENG",-0.483739674310908,-0.495310139251296,0.115521387339935,30,0.79560375213623
"YeungNLP/firefly-qwen1.5-en-7b",-1.02412405264833,-1.10643981181838,0.0797799895662058,30,0.492772817611694
"snorkelai/Snorkel-Mistral-PairRM-DPO",-0.112184869540663,-0.0602721657874903,0.132323559933805,30,0.743614196777344
"Mihaiii/Metis-0.5",-0.14808937427801,-0.181894449872877,0.124479035242272,30,0.516249895095825
"DreadPoor/NewtoccineLake-slerp-7B",0.588651556926633,0.516947607111689,0.142646889814948,30,0.444029808044434
"ShenaoZhang/0.001_3iters_bs256_nodpo_only4w_iter_3",-0.0712387506574531,-0.161655223023552,0.126921383350195,30,0.58413028717041
"sarahlintang/mistral-indo-7b",-0.575229111293112,-0.524811233978676,0.112031589820483,30,0.785604953765869
"OmnicromsBrain/NeuralStar_AlphaWriter_4x7b",1.18464237165778,1.13722042402906,0.158931937076276,30,0.579464197158813
"Muhammad2003/Llama3-8B-OpenHermes-DPO",-0.892756857362089,-0.888303757335068,0.0922877516682314,30,0.781276702880859
"ajibawa-2023/Uncensored-Jordan-13B",-0.929192932472165,-0.915426171750248,0.0911930615447569,30,0.616293907165527
"YeungNLP/firefly-qwen1.5-en-7b-unsloth",-1.02126682983074,-1.07948883555864,0.0801572342275733,30,0.431336402893066
"kaitchup/Mayonnaise-4in1-022",1.56545586184028,1.95528896589605,0.18194455901836,30,1.14078402519226
"Sao10K/Venomia-1.1-m7",-0.523357069453322,-0.668205942011875,0.113151146392403,30,0.503167152404785
"abideen/Mistral-v2-orpo",-0.442548418578207,-0.488227780465868,0.119436801923292,30,0.927121639251709
"nbeerbower/Flammen-Trismegistus-7B",-0.202827625768931,-0.0190593230175403,0.125116539701562,30,0.513209104537964
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",-0.546013220350561,-0.56953799330228,0.115001671521861,30,0.782209396362305
"uukuguy/speechless-mistral-7B-v0.2-mixed-1",-0.436305398259428,-0.657603317630028,0.11845712625343,30,0.900645971298218
"beberik/Nyxene-11B",0.687744779495014,0.372072509350561,0.146231191476883,30,0.605602502822876
"Gille/StrangeMerges_36-7B-slerp",1.78546378130542,2.19128313674961,0.208067932577408,30,0.907927274703979
"NLUHOPOE/Mistral-7B-length-100000",-0.991545110076848,-1.11970141924176,0.082454046284588,30,0.992527961730957
"cognitivecomputations/dolphin-2.6-mistral-7b",-0.168980109827523,-0.160918774884801,0.123776546518088,30,0.767274379730225
"Delcos/Velara-11B-V2",0.035090479042553,-0.177171504751231,0.1295604892872,30,0.897999048233032
"paulml/DPOB-NMTOB-7B",2.62671679149712,2.75042418903896,0.29964253205501,34,0.979445457458496
"Deci/DeciLM-7B",-0.92835410498783,-0.766860485686329,0.0930580558802967,30,0.896561622619629
"xriminact/TarsChattyBasev0.0",0.150675407142067,-0.0056902628414551,0.133413954944968,30,0.810601711273193
"automerger/OgnoExperiment27-7B",3.02178253123647,3.00025851117396,0.287857509176073,113,2.61970090866089
"LeroyDyer/Mixtral_Uncensored",-0.141594981046462,-0.123392514486248,0.12665961171678,30,0.697981595993042
"alvarobartt/mistral-7b-orpo-alignment-handbook",-0.364547833872888,-0.325017870147808,0.119125875931788,30,0.494318246841431
"flammenai/flammen23X-mistral-7B",0.858454827355496,0.767660671079927,0.149423525181265,30,0.503826141357422
"jondurbin/nontoxic-bagel-34b-v0.2",-0.00777455006582239,0.0667530841844808,0.131358550694012,30,0.471964120864868
"mahiatlinux/MasherAI-7B-v6.1",-0.184434742622596,-0.12974103049727,0.126641392828188,30,0.558141231536865
"fhai50032/BeagleLake-7B",1.01052514954971,0.976289352867055,0.156962040754284,30,0.447755575180054
"Weyaxi/Instruct-v0.2-Seraph-7B",-0.0429112695045723,0.00224129015040967,0.128675655326403,30,0.810758352279663
"google/codegemma-7b",-1.01393177096602,-1.1433363738244,0.080803868836901,30,0.521018743515015
"chihoonlee10/T3Q-EN-DPO-Mistral-7B",2.98522996795837,2.89794438551216,0.291737272871262,91,1.87915730476379
"itsliupeng/Mixtral-8x7B-v0.1-top3",-0.305151336315794,-0.330736374642189,0.122850620256678,30,0.586929082870483
"tuantran1632001/Psyfighter2-Orca2-ties",-0.512778356337544,-0.58545388007897,0.113955372785769,30,0.498244524002075
"JCX-kcuf/openchat_3.5-gpt-4-80k",0.0676336198422737,-0.166526754978167,0.129473197200272,30,0.578117847442627
"xriminact/TarsChattyBasev0.1",-0.482522989561869,-0.648480013932702,0.116067424133896,30,0.504228830337524
