dataset,seed,mse,aug_mse,delta_mse,p_wilcoxon,should_proceed,features_perturbed
HousePrice,985772,0.0008274401745728668,0.00047805308712443607,-42.22505725308636,0.0009765625,True,"[0, 4]"
HousePrice,305711,0.0005795876098496677,0.00041263176459499637,-28.805972111442486,0.0009765625,True,"[0, 4]"
HousePrice,435829,0.0007068467040218374,0.0003951686018293413,-44.09415795802693,0.0009765625,True,"[5, 6]"
HousePrice,117952,0.0006514488780474634,0.00031903248194476097,-51.027242091356115,0.0009765625,True,"[0, 4]"
HousePrice,963395,0.0006045711932484559,0.0003341684782280437,-44.726364411690874,0.0009765625,True,"[0, 4]"
