"Elevation","TSeason","PSeason","swe","scd","awc","clay","sand","coarse","bulk_density","aspect","slope","tri","dist2fw","dist2cst","dr","As","Cd","Co","Cr","Hg","Mn","Ni","Pb","Sb","Zn","copper","erosion","pH_H2O","OC","CaCO3","P","N","K","parmado_bin"
NA,0.000133035216243078,0,7.14425364466958e-06,1.97321386429818e-25,0,5.72973286137342e-93,5.60561142205785e-44,0,6.43528068814029e-179,1.20646212666242e-05,0,0,2.46845520168908e-148,0,3.48124036107913e-60,0,0.567179689901554,0,3.65219736861837e-95,0.309115727516034,0,3.66858319375169e-132,6.98490613347293e-67,0,3.18782826301657e-211,6.90685207747495e-119,5.186506237859e-10,3.97503383101711e-66,0.247215245465194,4.78143840288962e-170,0,0.178272235655912,8.69023075265762e-45,0
0.000133035216242924,NA,8.15602556501117e-209,0,0,2.15146802496144e-304,5.45298701213759e-218,4.64298679800858e-05,5.04764915597255e-93,7.40522439797667e-38,2.40516750015895e-06,1.04587631306663e-63,1.16596918243422e-126,0.0428566234957484,0,0,0,1.13143426535421e-214,1.11545332066594e-52,4.38146674444845e-94,7.41514679637499e-36,1.19695161791633e-242,5.11495696575504e-115,0,0,3.03541894211079e-296,1.0226011427143e-193,0.000871505601034889,1.18878964283283e-89,0.0190792697792751,1.19622847658359e-36,2.3648222502123e-99,9.87345630032693e-76,1.16314423123939e-159,0
0,8.1560255649584e-209,NA,2.67956529486891e-37,3.82272095548193e-75,3.20939947397819e-38,7.84282995973554e-07,2.64354336660223e-53,3.43631764739197e-78,0.0714706255532441,0.510758368560093,3.8224111430357e-117,1.13994896892583e-150,2.9611248015188e-49,5.20046323394931e-22,1.07653846510406e-07,1.49838884534271e-29,2.06479568185632e-175,8.61178573348374e-06,3.76167570779171e-31,1.2573664986166e-134,2.67687412211354e-07,2.10558762852937e-09,2.1451844871053e-312,1.63322821598295e-15,5.55538422194298e-72,6.40188368800755e-18,1.23880114649442e-10,8.48414673595331e-45,5.95881998954025e-103,1.62733888209096e-67,0,1.87650163606796e-195,0.290029406912481,9.03146122663333e-72
7.1442536446655e-06,0,2.67956529488339e-37,NA,0,0,0,5.42770570951367e-25,1.76913865746227e-36,1.66393423740269e-19,0.000100251555205367,5.96192018000549e-05,3.91214888642137e-07,1.512930700371e-15,5.49401122084317e-67,0,0,3.11778875088188e-05,0,0,1.93883766038883e-241,0,0,0,0,0,0,1.04343627986575e-32,0,0,0,5.06438929909953e-10,1.96149993892373e-130,0,0
1.97321386429287e-25,0,3.82272095550266e-75,0,NA,0,0,1.64288865177832e-35,2.57759229408986e-56,5.55303977091164e-09,1.08636774232016e-05,0.0011221771426824,0.0281603789225243,1.18178743880448e-09,1.30859059422014e-55,0,0,0.998549098190199,0,0,2.56957067588684e-162,0,0,0,0,0,0,4.44694570665368e-32,0,0,0,3.36829415568611e-09,9.60563306194284e-85,0,0
0,2.15146802499396e-304,3.20939947399353e-38,0,0,NA,0,0,0,0,0.0962004100227559,0,0,4.19539194278167e-124,1.8077748641079e-08,9.44777388383516e-255,0,9.9666766443249e-114,0,0,1.41568388596225e-102,0,0,0,0,0,0,4.20108973967596e-16,0,7.79564042056835e-32,0,2.08002690364185e-132,5.93162467690043e-250,0,0
5.72973286135798e-93,5.45298701218771e-218,7.84282995975461e-07,0,0,0,NA,0,1.05872664884431e-135,0,0.00177373072034756,8.80019220503634e-37,5.4478204752058e-41,2.71139421127513e-15,9.99241984109875e-20,6.81823177940305e-186,0,4.63162606359077e-20,0,0,1.19171261727541e-23,0,0,0,0,0,0,4.85011341519851e-30,0,5.83928431698318e-166,0,3.89357135761884e-80,0.717099838797408,0,0
5.6056114220502e-44,4.64298679800837e-05,2.64354336660767e-53,5.42770570951497e-25,1.64288865177861e-35,0,0,NA,2.52603240459759e-16,3.50025978722061e-206,0.134895936432607,6.30188936515484e-17,6.88280058448188e-37,7.2446103705071e-16,1.31961278545548e-08,3.96352513032068e-61,0,5.87349938877419e-72,0,0,3.45627447113373e-312,0,0,0,2.61535131873863e-297,0,0,2.14831393024164e-09,2.10544832786882e-213,5.28972017862578e-297,7.79386680916105e-282,3.30739844682888e-06,0,0,0
0,5.04764915595489e-93,3.4363176473977e-78,1.76913865746323e-36,2.57759229409233e-56,0,1.05872664884599e-135,2.52603240459853e-16,NA,3.67841797715663e-164,0.0251731608191221,0,0,2.48198039312162e-85,0.0491168242905371,8.41743149988548e-52,0,6.5167222360676e-11,0,1.21456904614028e-172,1.71222935432025e-13,3.39589122223053e-185,5.2423296450144e-163,1.8942146312792e-140,2.2748436584889e-314,1.20372905176157e-246,8.65195351646212e-231,0.688794968471138,1.54422722091443e-23,5.85771852008823e-39,9.58026229217639e-108,3.65437371271898e-89,3.41083633153432e-47,7.15833936879485e-63,7.71232231491128e-273
6.43528068814812e-179,7.40522439798586e-38,0.0714706255532444,1.66393423740169e-19,5.55303977090871e-09,0,0,3.50025978722824e-206,3.67841797715878e-164,NA,0.01783228883632,0,0,1.39876875766471e-139,4.58897323180443e-91,2.31526341912688e-08,1.11690044761188e-169,2.39907965172954e-83,0,0,3.91288821672547e-288,3.30582408603683e-207,1.92430901153114e-300,0,1.88734172979786e-265,0,0,0.418445194654011,5.14823149509866e-21,0,2.03258099481877e-10,3.50321609258876e-85,0,1.81963832198953e-83,6.47925096572504e-191
