"Elevation","TSeason","PSeason","swe","scd","awc","clay","sand","coarse","bulk_density","aspect","slope","tri","dist2fw","dist2cst","dr","As","Cd","Co","Cr","Hg","Mn","Ni","Pb","Sb","Zn","copper","erosion","pH_H2O","OC","CaCO3","P","N","K","parmado_bin"
NA,7.46174520118363e-06,0,4.26877333787989e-09,1.11235824258317e-32,0,5.12245459659326e-95,7.95613822729867e-59,0,1.1448294518138e-169,0.00221637070497118,0,0,9.75308199971912e-136,0,5.82241194866738e-54,0,0.0770229091169455,0,1.17751608793294e-105,0.149402348777952,0,4.31394092890076e-146,3.01286244579972e-77,0,3.36592393857844e-232,2.36115033118579e-134,2.6132211048131e-09,5.57518367817971e-68,0.02047834051225,1.17535918904556e-176,0,0.391984763204719,1.53843165428954e-57,0
7.46174520118155e-06,NA,1.02837191041581e-192,0,0,7.18916473205704e-285,1.19507704169073e-208,2.4980692443291e-09,3.89496609997911e-92,5.27999813206009e-39,2.35175481185747e-10,5.10128408301343e-60,2.61057977005096e-125,0.00104945193273302,0,0,0,2.24382458009494e-186,2.42086640534024e-41,1.61685421532994e-73,9.94886952064712e-29,3.34879802909586e-210,1.15025200600062e-93,0,0,9.48632815148314e-274,7.96640124435312e-171,0.000189865558749466,1.06460710509438e-82,0.295508906552969,1.96879798089431e-40,6.29627506998712e-96,1.73786669246139e-78,2.97055618914453e-167,0
0,1.02837191041115e-192,NA,2.86989696884521e-32,2.96272169596507e-68,1.70804991342914e-36,1.67688626493576e-06,4.29962440883627e-47,1.62815141103275e-92,0.0145847512097511,0.469339922557778,5.8920211966394e-108,2.53577394185249e-145,2.66810850902738e-55,1.45234322501407e-25,8.44690414183714e-08,3.34858331257966e-25,9.72632955008126e-163,3.51983913652212e-08,4.31800196516592e-27,4.45523902736175e-125,0.000650750290818136,1.43767771091768e-13,8.23983872584825e-301,5.09380189031487e-19,6.20881119494921e-65,2.78421837841508e-26,1.60874484886895e-13,5.5704615643918e-49,7.93857597515683e-106,1.94599490113886e-73,0,5.61885078179398e-181,0.968059219200861,1.33889864324403e-93
4.26877333788108e-09,0,2.86989696884181e-32,NA,0,0,0,3.26964086070801e-29,2.64588343229025e-22,5.7945433563063e-17,1.93287631495533e-05,4.40649582462703e-08,3.20696388760501e-10,3.21646063350637e-22,2.84459621649294e-61,0,0,1.16937301772115e-08,0,0,2.23177571697956e-264,0,0,0,0,0,0,9.02899498987994e-35,0,0,0,5.68095606533501e-10,5.76300293410274e-145,0,0
1.11235824258355e-32,0,2.96272169597244e-68,0,NA,0,0,4.01935426852255e-41,1.46116604652577e-40,2.51045768502331e-07,1.46326125123386e-06,0.0560643345349101,0.317778066284808,2.18289701568552e-14,7.39625995721698e-51,0,0,0.0550357627718009,0,0,9.50687227785611e-177,0,0,0,0,0,0,1.15223846833277e-34,0,0,0,3.8308113337101e-08,2.78927345867524e-97,0,0
0,7.18916473209391e-285,1.70804991342991e-36,0,0,NA,0,0,1.31573826432683e-311,0,0.00243096846792655,0,0,2.09021940558418e-116,2.1534630209515e-09,1.05398963781742e-229,0,6.2417295803295e-112,0,0,2.40630518510019e-106,0,0,0,0,0,0,1.74215561959967e-12,0,4.32328237070941e-29,0,2.44172148678959e-136,1.44789026386744e-234,0,0
5.12245459659326e-95,1.19507704169099e-208,1.67688626493519e-06,0,0,0,NA,0,1.87920439933462e-124,0,8.56709106202941e-05,2.00503691601562e-33,3.58165567131318e-34,2.09686254137999e-12,1.25920153638436e-15,3.92315440529164e-173,0,3.62685231741393e-15,0,0,1.23717302908409e-24,0,0,0,0,0,0,2.98938779969391e-26,0,6.55967924433983e-185,0,5.86149427355881e-83,0.0715821160233915,0,0
7.9561382273028e-59,2.49806924432902e-09,4.29962440882653e-47,3.26964086070781e-29,4.01935426852024e-41,0,0,NA,2.44463883141262e-11,3.24096588415072e-185,0.0150423971424256,2.00671399910589e-18,2.22131168094998e-48,2.07356815292115e-15,2.35786012563816e-09,8.65633311984366e-57,0,4.71029372266104e-83,0,0,0,0,0,0,2.85767569554577e-320,0,0,0.000103326742412773,2.77355335936931e-208,3.93100855901171e-283,4.68378978093554e-269,2.22315945855083e-05,0,0,0
0,3.8949660999808e-92,1.62815141103003e-92,2.6458834322891e-22,1.46116604652532e-40,1.31573826432584e-311,1.87920439933446e-124,2.44463883141225e-11,NA,3.24457343190831e-157,0.104654336918321,0,0,1.20516286301116e-78,1.18442658599242e-06,3.74646964729492e-48,4.67386100965819e-321,4.31666022767691e-06,4.99006302299659e-321,5.79214236756082e-149,1.46809840948416e-08,6.31997051565479e-152,2.43793528532967e-154,7.45168346967749e-113,1.08756269636509e-286,4.5798616049261e-223,2.22021155592239e-226,0.121640397346847,6.53042201455693e-22,5.20034332782735e-37,6.7513848897641e-99,1.5189360023902e-105,3.77905325680802e-41,1.49876446713116e-57,1.7544442894216e-262
1.14482945181256e-169,5.27999813205774e-39,0.0145847512097501,5.79454335631006e-17,2.51045768502381e-07,0,0,3.24096588414972e-185,3.24457343190554e-157,NA,0.0244100933312363,0,0,9.67838458275838e-142,4.58526442795424e-104,1.82208208933342e-09,7.03657242450542e-165,3.16525730135313e-85,0,0,9.22724196168285e-244,1.39802321126878e-183,2.47251764525058e-285,0,6.02567022839647e-279,0,0,0.187378114864324,1.28909404493552e-23,0,1.75954815400205e-07,5.72217755981343e-109,0,2.38915306911161e-65,4.49573482144039e-187
