# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
1024,16384,2048,NN_RC_Row,229.804382,299.035,35,1,0
1024,16384,2048,NT_RR_Col,230.830322,297.706,35,1,0
1024,16384,2048,NT_RR_Row,229.967636,298.822,35,1,0
1024,16384,2048,TN_CC_Col,230.583313,298.025,35,1,0
1024,16384,2048,TN_CC_Row,229.794556,299.047,35,1,0
1024,16384,2048,TT_CR_Col,229.597153,299.305,35,1,0
1024,16384,2048,TT_CR_Row,229.810928,299.026,35,1,0
4096,2048,2048,NN_RC_Col,223.421585,153.789,35,1,0
4096,2048,2048,NN_RC_Row,223.423111,153.788,35,1,0
4096,2048,2048,NT_RR_Col,223.430878,153.782,35,1,0
4096,2048,2048,NT_RR_Row,223.426239,153.786,35,1,0
4096,2048,2048,TN_CC_Col,223.407639,153.798,35,1,0
4096,2048,2048,TN_CC_Row,223.385971,153.813,35,1,0
4096,2048,2048,TT_CR_Col,223.418488,153.791,35,1,0
4096,2048,2048,TT_CR_Row,223.464981,153.759,35,1,0
4096,2048,8192,NN_RC_Col,224.528046,612.124,35,4,33562783
4096,2048,8192,NN_RC_Row,228.448837,601.618,35,4,33562783
4096,2048,8192,NT_RR_Col,225.360992,609.861,35,4,33562783
4096,2048,8192,NT_RR_Row,229.145996,599.788,35,4,33562783
4096,2048,8192,TN_CC_Col,229.179810,599.699,35,4,33562783
4096,2048,8192,TN_CC_Row,225.835785,608.579,35,4,33562783
4096,2048,8192,TT_CR_Col,224.908600,611.088,35,1,0
4096,2048,8192,TT_CR_Row,228.938736,600.331,35,4,33562783
4096,3072,2048,NN_RC_Col,228.575653,225.482,35,1,0
4096,3072,2048,NN_RC_Row,228.599472,225.458,35,1,0
4096,3072,2048,NT_RR_Col,228.556198,225.501,35,1,0
4096,3072,2048,NT_RR_Row,228.658966,225.399,35,1,0
4096,3072,2048,TN_CC_Col,228.629761,225.428,35,1,0
4096,3072,2048,TN_CC_Row,228.525940,225.531,35,1,0
4096,3072,2048,TT_CR_Col,228.532425,225.524,35,1,0
4096,3072,2048,TT_CR_Row,228.587570,225.470,35,1,0
4096,16384,2048,NN_RC_Col,240.343781,1143.686,35,1,0
4096,16384,2048,NN_RC_Row,239.984528,1145.398,35,1,0
4096,16384,2048,NT_RR_Col,240.346924,1143.671,35,1,0
4096,16384,2048,NT_RR_Row,240.339752,1143.706,35,1,0
4096,16384,2048,TN_CC_Col,240.408798,1143.377,35,1,0
4096,16384,2048,TN_CC_Row,240.339981,1143.704,35,1,0
4096,16384,2048,TT_CR_Col,240.312408,1143.836,35,1,0
4096,16384,2048,TT_CR_Row,240.369095,1143.566,35,1,0
16384,2048,2048,NN_RC_Col,236.645599,580.780,35,1,0
16384,2048,2048,NN_RC_Row,234.997711,584.852,35,1,0
16384,2048,2048,NT_RR_Col,236.798645,580.404,35,1,0
16384,2048,2048,NT_RR_Row,234.669006,585.672,35,1,0
16384,2048,2048,TN_CC_Col,236.993347,579.927,35,1,0
16384,2048,2048,TN_CC_Row,234.720352,585.543,35,1,0
16384,2048,2048,TT_CR_Col,236.217804,581.831,35,1,0
16384,2048,2048,TT_CR_Row,234.636948,585.752,35,1,0
16384,2048,8192,NN_RC_Col,240.664764,2284.322,35,1,0
16384,2048,8192,NN_RC_Row,237.262283,2317.081,35,2,134234271
16384,2048,8192,NT_RR_Col,239.516373,2295.274,35,1,0
16384,2048,8192,NT_RR_Row,236.771683,2321.882,35,1,0
16384,2048,8192,TN_CC_Col,239.075409,2299.508,35,1,0
16384,2048,8192,TN_CC_Row,240.228027,2288.475,35,1,0
16384,2048,8192,TT_CR_Col,239.714752,2293.375,35,1,0
16384,2048,8192,TT_CR_Row,237.075974,2318.901,35,2,134234271
16384,3072,2048,NN_RC_Col,238.310654,865.083,35,1,0
16384,3072,2048,NN_RC_Row,238.272461,865.221,35,1,0
16384,3072,2048,NT_RR_Col,238.366516,864.880,35,1,0
16384,3072,2048,NT_RR_Row,238.356522,864.916,35,1,0
16384,3072,2048,TN_CC_Col,238.441498,864.608,35,1,0
16384,3072,2048,TN_CC_Row,238.321838,865.042,35,1,0
16384,3072,2048,TT_CR_Col,238.387695,864.803,35,1,0
16384,3072,2048,TT_CR_Row,238.462387,864.532,35,1,0
16384,16384,2048,NN_RC_Col,240.263199,4576.280,35,1,0
16384,16384,2048,NN_RC_Row,240.083038,4579.714,35,1,0
16384,16384,2048,NT_RR_Col,240.391190,4573.843,35,1,0
16384,16384,2048,NT_RR_Row,240.081863,4579.736,35,1,0
16384,16384,2048,TN_CC_Col,240.412384,4573.440,35,1,0
16384,16384,2048,TN_CC_Row,240.092255,4579.538,35,1,0
16384,16384,2048,TT_CR_Col,240.077530,4579.819,35,1,0
16384,16384,2048,TT_CR_Row,240.078430,4579.802,35,1,0
