# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-INT8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: int8, outdtype: int32, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
16,2048,2048,NN_CR_Col,13.067725,10.271,20,1,0
16,2048,2048,NN_CR_Row,12.980103,10.340,20,1,0
16,2048,2048,NN_RC_Col,21.616411,6.209,21,1,0
16,2048,2048,NN_RC_Row,21.620123,6.208,21,1,0
16,2048,2048,NT_CC_Col,13.067725,10.271,20,1,0
16,2048,2048,NT_CC_Row,13.015010,10.313,20,1,0
16,2048,2048,NT_RR_Col,21.608986,6.211,21,1,0
16,2048,2048,NT_RR_Row,21.620123,6.208,21,1,0
16,2048,2048,TN_CC_Col,21.560850,6.225,21,1,0
16,2048,2048,TN_CC_Row,21.616411,6.209,21,1,0
16,2048,2048,TN_RR_Col,13.070438,10.269,20,1,0
16,2048,2048,TN_RR_Row,13.015010,10.313,20,1,0
16,2048,2048,TT_CR_Col,21.616411,6.209,21,1,0
16,2048,2048,TT_CR_Row,21.620123,6.208,21,1,0
16,2048,2048,TT_RC_Col,13.070438,10.269,20,1,0
16,2048,2048,TT_RC_Row,13.010974,10.316,20,1,0
16,2048,8192,NN_CR_Col,17.433289,30.796,20,1,0
16,2048,8192,NN_CR_Row,16.323425,32.890,20,1,0
16,2048,8192,NN_RC_Col,52.043896,10.316,21,5,655360
16,2048,8192,NN_RC_Row,32.748814,16.394,21,5,655360
16,2048,8192,NT_CC_Col,17.454449,30.758,20,1,0
16,2048,8192,NT_CC_Row,16.372276,32.791,20,1,0
16,2048,8192,NT_RR_Col,52.043896,10.316,21,5,655360
16,2048,8192,NT_RR_Row,32.750942,16.393,21,5,655360
16,2048,8192,TN_CC_Col,52.027752,10.319,21,5,655360
16,2048,8192,TN_CC_Row,32.748814,16.394,21,5,655360
16,2048,8192,TN_RR_Col,17.447792,30.770,20,1,0
16,2048,8192,TN_RR_Row,16.343567,32.849,20,1,0
16,2048,8192,TT_CR_Col,52.033127,10.318,21,5,655360
16,2048,8192,TT_CR_Row,32.753071,16.391,21,5,655360
16,2048,8192,TT_RC_Col,17.435101,30.793,20,1,0
16,2048,8192,TT_RC_Row,16.369614,32.797,20,1,0
16,3072,2048,NN_CR_Col,16.304743,12.348,20,1,0
16,3072,2048,NN_CR_Row,14.034031,14.346,20,1,0
16,3072,2048,NN_RC_Col,32.452488,6.204,21,1,0
16,3072,2048,NN_RC_Row,32.637676,6.169,21,1,0
16,3072,2048,NT_CC_Col,16.328720,12.330,20,1,0
16,3072,2048,NT_CC_Row,14.063310,14.316,20,1,0
16,3072,2048,NT_RR_Col,32.424614,6.209,21,1,0
16,3072,2048,NT_RR_Row,32.424614,6.209,21,1,0
16,3072,2048,TN_CC_Col,32.654617,6.165,21,1,0
16,3072,2048,TN_CC_Row,32.463654,6.202,21,1,0
16,3072,2048,TN_RR_Col,16.368370,12.300,20,1,0
16,3072,2048,TN_RR_Row,14.036119,14.343,20,1,0
16,3072,2048,TT_CR_Col,32.603848,6.175,21,1,0
16,3072,2048,TT_CR_Row,32.609486,6.174,21,1,0
16,3072,2048,TT_RC_Col,16.324484,12.333,20,1,0
16,3072,2048,TT_RC_Row,13.960332,14.421,20,1,0
16,16384,2048,NN_CR_Col,31.620323,33.957,20,1,0
16,16384,2048,NN_CR_Row,30.859377,34.795,20,1,0
16,16384,2048,NN_RC_Col,65.259834,16.453,21,1,0
16,16384,2048,NN_RC_Row,65.280998,16.448,21,1,0
16,16384,2048,NT_CC_Col,30.824417,34.834,20,1,0
16,16384,2048,NT_CC_Row,30.807432,34.853,20,1,0
16,16384,2048,NT_RR_Col,65.255608,16.454,21,1,0
16,16384,2048,NT_RR_Row,65.204887,16.467,21,1,0
16,16384,2048,TN_CC_Col,65.238693,16.459,21,1,0
16,16384,2048,TN_CC_Row,65.196434,16.469,21,1,0
16,16384,2048,TN_RR_Col,30.803663,34.858,20,1,0
16,16384,2048,TN_RR_Row,30.802723,34.859,20,1,0
16,16384,2048,TT_CR_Col,65.234459,16.460,21,1,0
16,16384,2048,TT_CR_Row,65.200653,16.468,21,1,0
16,16384,2048,TT_RC_Col,31.506508,34.080,20,1,0
16,16384,2048,TT_RC_Row,30.828190,34.830,20,1,0
128,2048,2048,NN_CR_Col,42.826332,25.072,20,1,0
128,2048,2048,NN_CR_Row,43.884949,24.467,20,1,0
128,2048,2048,NN_RC_Col,172.990723,6.207,21,1,0
128,2048,2048,NN_RC_Row,172.753220,6.215,21,1,0
128,2048,2048,NT_CC_Col,42.939594,25.006,20,1,0
128,2048,2048,NT_CC_Row,44.647961,24.049,20,1,0
128,2048,2048,NT_RR_Col,171.839020,6.249,21,1,0
128,2048,2048,NT_RR_Row,172.693939,6.218,21,1,0
128,2048,2048,TN_CC_Col,173.557419,6.187,21,1,0
128,2048,2048,TN_CC_Row,172.782852,6.214,21,1,0
128,2048,2048,TN_RR_Col,42.974426,24.986,20,1,0
128,2048,2048,TN_RR_Row,44.177696,24.305,20,1,0
128,2048,2048,TT_CR_Col,172.753220,6.215,21,1,0
128,2048,2048,TT_CR_Row,172.901566,6.210,21,1,0
128,2048,2048,TT_RC_Col,43.143875,24.887,20,1,0
128,2048,2048,TT_RC_Row,45.021374,23.850,20,1,0
128,2048,8192,NN_CR_Col,51.344414,83.650,20,1,0
