"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"Muhammad2003/Llama3-8B-OpenHermes-DPO",0.570469109017724,-0.892756857362089,30,839,0.666666666666667,0.566901832467083
"ajibawa-2023/Uncensored-Jordan-13B",0.56438478422472,-0.929192932472165,30,839,0.5,0.566772353479036
"YeungNLP/firefly-qwen1.5-en-7b-unsloth",0.544024624273495,-1.02126682983074,30,839,0.533333333333333,0.54442108747276
"kaitchup/Mayonnaise-4in1-022",0.797104637023028,1.56545586184028,30,839,0.766666666666667,0.798233362746996
"Sao10K/Venomia-1.1-m7",0.62848927123017,-0.523357069453322,30,839,0.566666666666667,0.630781827641672
"abideen/Mistral-v2-orpo",0.639457828433813,-0.442548418578207,30,839,0.533333333333333,0.643393223802187
"nbeerbower/Flammen-Trismegistus-7B",0.670340148942559,-0.202827625768931,30,839,0.566666666666667,0.674184653847722
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",0.626758329344589,-0.546013220350561,30,839,0.5,0.63145888543895
"uukuguy/speechless-mistral-7B-v0.2-mixed-1",0.641019835260107,-0.436305398259428,30,839,0.533333333333333,0.645013154243795
"beberik/Nyxene-11B",0.749739159727819,0.687744779495014,30,839,0.633333333333333,0.754055815836391
"Gille/StrangeMerges_36-7B-slerp",0.806394748412576,1.78546378130542,30,839,0.833333333333333,0.805395789762857
"NLUHOPOE/Mistral-7B-length-100000",0.552750861329981,-0.991545110076848,30,839,0.633333333333333,0.549762636162984
"cognitivecomputations/dolphin-2.6-mistral-7b",0.673382068870286,-0.168980109827523,30,839,0.533333333333333,0.678575470682534
"Delcos/Velara-11B-V2",0.694949828606003,0.035090479042553,30,839,0.6,0.698470835847264
"paulml/DPOB-NMTOB-7B",0.81887098157082,2.62671679149712,34,839,0.647058823529412,0.826127644146482
"Deci/DeciLM-7B",0.565324444007023,-0.92835410498783,30,839,0.533333333333333,0.566510764551165
"xriminact/TarsChattyBasev0.0",0.705045259380435,0.150675407142067,30,839,0.466666666666667,0.713885009419265
"automerger/OgnoExperiment27-7B",0.821588546883003,3.02178253123647,113,839,0.716814159292035,0.837896406108594
"LeroyDyer/Mixtral_Uncensored",0.67727145821212,-0.141594981046462,30,839,0.566666666666667,0.681372995599467
"alvarobartt/mistral-7b-orpo-alignment-handbook",0.649987052018373,-0.364547833872888,30,839,0.566666666666667,0.653076806728572
"flammenai/flammen23X-mistral-7B",0.760390913875369,0.858454827355496,30,839,0.6,0.766338660990648
"jondurbin/nontoxic-bagel-34b-v0.2",0.691028520124757,-0.00777455006582239,30,839,0.633333333333333,0.693168020252993
"mahiatlinux/MasherAI-7B-v6.1",0.671385028051387,-0.184434742622596,30,839,0.566666666666667,0.675268280018682
"fhai50032/BeagleLake-7B",0.768625812558047,1.01052514954971,30,839,0.633333333333333,0.773642838981707
"Weyaxi/Instruct-v0.2-Seraph-7B",0.68677235830846,-0.0429112695045723,30,839,0.566666666666667,0.69122621584771
"google/codegemma-7b",0.546160091672885,-1.01393177096602,30,839,0.566666666666667,0.545399650078555
"chihoonlee10/T3Q-EN-DPO-Mistral-7B",0.823351608930937,2.98522996795837,91,839,0.714285714285714,0.836620320712642
"itsliupeng/Mixtral-8x7B-v0.1-top3",0.656213884308535,-0.305151336315794,30,839,0.466666666666667,0.663242829338518
"tuantran1632001/Psyfighter2-Orca2-ties",0.631452203449651,-0.512778356337544,30,839,0.6,0.632618539795126
"JCX-kcuf/openchat_3.5-gpt-4-80k",0.698190274482898,0.0676336198422737,30,839,0.533333333333333,0.704303634476083
"xriminact/TarsChattyBasev0.1",0.635571431774261,-0.482522989561869,30,839,0.566666666666667,0.63812661465835
"saucam/Athena-8B",0.584120683632107,-0.809448617109934,30,839,0.533333333333333,0.58600402171488
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e1",0.63372124266644,-0.487872295690533,30,839,0.6,0.634971721380894
"ZoidBB/MultiKory-0.1-4x11b-pre1",0.77964531188208,1.20137769378,30,839,0.666666666666667,0.783834878453727
"souvik0306/mistral_7b_2epoch_norobots",0.649028770015557,-0.367786798796195,30,839,0.566666666666667,0.652082988928371
"CultriX/MistralTrix-v1",0.77265157881825,1.07615384331165,30,839,0.566666666666667,0.780290079886912
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.706333952342941,0.161039142623742,30,839,0.5,0.713985396805596
"dreamgen/opus-v1-34b",0.626577578832735,-0.535197846973853,30,839,0.566666666666667,0.628799244302428
"LeroyDyer/Mixtral_AI_CyberCoder",0.564226004332471,-0.93933050288466,30,839,0.5,0.566607685580894
"Nekochu/Luminia-13B-v3",0.500786794438521,-1.23677312308985,30,839,0.466666666666667,0.50205206493686
"TeeZee/DarkSapling-7B-v1.0",0.648451027089672,-0.378585645466209,30,839,0.533333333333333,0.652719915609685
"Weyaxi/OpenHermes-2.5-neural-chat-v3-2-Slerp",0.732965465480795,0.465139081941776,30,839,0.6,0.737896199676621
"abacusai/MetaMath-Bagel-DPO-34B",0.641902436187296,-0.432488167508029,30,839,0.566666666666667,0.644692390557653
"TeeZee/DarkSapling-7B-v1.1",0.681251165383916,-0.093179797141685,30,839,0.566666666666667,0.685500281529179
"BarraHome/Wistral-7B-Instruct-v0.3",0.648325280613523,-0.38671128783075,30,839,0.6,0.65011731821353
"rombodawg/Everyone-Coder-4x7b-Base",0.684508124836044,-0.0693360322844401,30,839,0.533333333333333,0.690114112160002
"ndavidson/cisco-iNAM-phi-sft",0.542597916348727,-1.02686437889102,30,839,0.466666666666667,0.545413661083538
"NovoCode/Novocode7b-v3",0.60643122704862,-0.686752557580888,30,839,0.633333333333333,0.605433621129533
"Gille/StrangeMerges_41-7B-dare_ties",0.691457687481389,0.00137555216688954,30,839,0.566666666666667,0.696085290231008
"venkycs/ZySec-7B-Adapter",0.666161584308116,-0.229852614718951,30,839,0.533333333333333,0.671087230203349
"uukuguy/speechless-mistral-hermes-code-7b",0.631461933337092,-0.514163215930181,30,839,0.566666666666667,0.633864724437355
"davzoku/frankencria-llama2-11b-v1.3-m.1",0.477699510896435,-1.33227772172347,30,839,0.4,0.480580827740555
"VAGOsolutions/SauerkrautLM-Qwen-32b",0.611064117175004,-0.651674892594354,30,839,0.566666666666667,0.61271049976493
"uukuguy/speechless-thoughts-mistral-7b-v1.0",0.638956772699051,-0.451664529022136,30,839,0.5,0.644109681451797
"Sao10K/Frostwind-v2.1-m7",0.637175023635594,-0.46341756381693,30,839,0.433333333333333,0.644734047997854
"jambroz/sixtyoneeighty-4x7B-v1",0.685713259313437,-0.0487907419349767,30,839,0.5,0.692600030363379
"BioMistral/BioMistral-7B",0.543409718654527,-1.0316647659064,30,839,0.533333333333333,0.543783379420455
"ibivibiv/multimaster-7b-v6",0.802487991344799,1.7679553251221,30,839,0.733333333333333,0.805052440962035
"allknowingroger/JupiterINEX12-12B-MoE",0.793386407837591,1.47690930013191,30,839,0.733333333333333,0.79561334508744
"nisten/shqiponja-15b-v1",0.699323740152853,0.0725396367199838,30,839,0.533333333333333,0.70547913224752
"vonjack/phi-3-mini-4k-instruct-llamafied",0.591261655939963,-0.769837742610202,30,839,0.6,0.590937613514992
"Open-Orca/Mixtral-SlimOrca-8x7B",0.642981346250904,-0.426984925346886,30,839,0.7,0.640866933874547
"timdettmers/guanaco-33b-merged",0.600067215037817,-0.722403509892057,30,839,0.533333333333333,0.602541895447131
"mlabonne/FrankenMonarch-7B",0.791528396077571,1.42309321345294,30,839,0.733333333333333,0.793686433014934
"AA051615/A0305a",0.615403309144691,-0.618641088247701,30,839,0.533333333333333,0.618446695145112
"maywell/PiVoT-SUS-RP",0.649003878390767,-0.372925262371663,30,839,0.566666666666667,0.652057174251982
"TheBloke/orca_mini_v3_7B-GPTQ",0.497514633671437,-1.26326979228766,30,839,0.2,0.508547314771737
"rombodawg/Everyone-LLM-7b-Base",0.703101441112964,0.124337246562935,30,839,0.566666666666667,0.708160827062765
"ledjo/Gabriel-8x7B-Instruct-v0.1",0.687017020855532,-0.0439431810806546,30,839,0.566666666666667,0.69147995117156
"FuseAI/FuseChat-7B-Slerp",0.714101944298208,0.245808020067235,30,839,0.566666666666667,0.719569259908772
"JaeyeonKang/CCK-v2.0-DPO",0.659546431221313,-0.292225267176008,30,839,0.533333333333333,0.66422676859664
"dawn17/StarlingMaid-2x7B-base",0.721131101213827,0.321837402246455,30,839,0.566666666666667,0.726859077773054
"jrruethe/balthazar-2x10.7b-v1",0.67598821722384,-0.149648760565229,30,839,0.466666666666667,0.68375045024821
"vicgalleorg/OpenHermes-Yi-9B",0.59228270465361,-0.765159269029535,30,839,0.633333333333333,0.590760431649418
"DreadPoor/Griffon-7B-Model_Stock",0.792725397264191,1.47652697076679,30,839,0.733333333333333,0.794927822379056
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",0.693603378664249,0.0124309231257752,30,839,0.666666666666667,0.694602267860698
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",0.685365041931331,-0.0534704090602845,30,839,0.5,0.692238900099365
"TeeZee/GALAXY_v03_slimorca_1_epoch_50k_DPO_1_epoch_30k",0.62585395461729,-0.538260512070138,30,839,0.5,0.630520973947968
"hfl/chinese-mixtral-instruct",0.665340245945911,-0.235113818633246,30,839,0.5,0.67147152824304
"saucam/mistral-orpo-beta-NeuralBeagle14-7B-dare-ties",0.698619860062762,0.0783296442837084,30,839,0.5,0.705985244243087
"0-hero/Matter-0.1-Slim-7B-B",0.647606090915604,-0.385463604369719,30,839,0.566666666666667,0.650607552877864
"Sao10K/Skadi-Mixtral-v1",0.67508374938261,-0.156722211550666,30,839,0.5,0.681576348247231
"maldv/SFR-Iterative-DPO-LLaMA-3-8B-R",0.603329332566577,-0.701866402423238,30,839,0.6,0.603452793601184
"uproai/Rose-2x7B",0.693335282869244,0.0246924013777654,30,839,0.5,0.70050470003374
"tenyx/Llama3-TenyxChat-70B",0.690927217659074,-0.0151629339726985,30,839,0.6,0.694299055149522
"Vasanth/Valor_Macaroni_moe",0.754404115509534,0.77599683367421,30,839,0.6,0.760129855268849
"jsfs11/MixtureofMerges-MoE-4x7b-v3",0.804697179976799,1.7645595586667,30,839,0.8,0.804871364648374
"NeuralNovel/Senzu-7B-v0.1-DPO",0.687217733211153,-0.0396979234362476,30,839,0.566666666666667,0.691688106506994
"allknowingroger/LimyQstar-7B-slerp",0.721535873397901,0.322688935715354,30,839,0.533333333333333,0.728514953993621
"WebraftAI/synapsellm-7b-mistral-v0.4-preview3",0.50126211473603,-1.23980200269661,30,839,0.566666666666667,0.498836729621173
"Undi95/X-MythoChronos-13B",0.60193120448507,-0.710914990292483,30,839,0.533333333333333,0.604475006876359
"GreenNode/GreenNodeLM-7B-v4leo",0.760682027677306,0.848377100340212,30,839,0.633333333333333,0.765404476169666
