"model","actual_accuracy","n_items"
"YeungNLP/firefly-zephyr-6x7b",0.540284360189573,844
"HanNayeoniee/LHK",0.611374407582938,844
"Weyaxi/Einstein-bagel-7B",0.623222748815166,844
"ibivibiv/orthorus-125b-v2",0.696682464454976,844
"yeontaek/llama-2-13B-ensemble-v3",0.552132701421801,844
"AGI-0/ThetaWave-7B-v0.1",0.619668246445498,844
"Inv/Dykh-Tau-7B",0.577014218009479,844
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",0.492890995260663,844
"ResplendentAI/Paradigm_Shift_7B",0.633886255924171,844
"AA051610/C0322-reft",0.588862559241706,844
"allknowingroger/ROGERphi-7B-slerp",0.632701421800948,844
"nisten/BigCodeLlama-92b",0.451421800947867,844
"macadeliccc/Monarch-7B-SFT",0.575829383886256,844
"yleo/EmertonMonarch-7B",0.708530805687204,844
"MSL7/INEX8-7B",0.721563981042654,844
"kyujinpy/Sakura-SOLAR-Instruct",0.672985781990521,844
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",0.567535545023697,844
"dillfrescott/amadeus-v0.1",0.657582938388626,844
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",0.511848341232227,844
"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",0.502369668246445,844
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.517772511848341,844
"kekmodel/StopCarbon-10.7B-v3",0.671800947867299,844
"nextai-team/Moe-2x7b-QA-Code",0.600710900473934,844
"freeCS-dot-org/ThetaWave-7B-v0.1",0.638625592417062,844
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",0.540284360189573,844
"Kukedlc/NeuralSynthesis-7b-v0.4-slerp",0.716824644549763,844
"Muhammad2003/TriMistral-7B-SLERP",0.588862559241706,844
"FelixChao/ShadowNeural-7B-ORPO",0.62085308056872,844
"LTC-AI-Labs/L2-7b-Hermes-Synthia",0.399289099526066,844
"Yuma42/KangalKhan-RawEmerald-7B",0.62085308056872,844
"Alsebay/Kilo-2x8B",0.535545023696682,844
"Radu1999/MisterUkrainianDPO",0.643364928909953,844
"core-3/kuno-royale-v3-7b",0.694312796208531,844
"Stopwolf/Bumbar-7B-slerp",0.613744075829384,844
"raidhon/coven_7b_128k_orpo_alpha",0.626777251184834,844
"EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984",0.565165876777251,844
"rhysjones/Phi-3-mini-mango-1-llamafied",0.565165876777251,844
"bartowski/internlm2-chat-7b-sft-llama",0.490521327014218,844
"AA051612/A0123",0.624407582938389,844
"Test157t/Eris-Floramix-7b",0.71563981042654,844
"Replete-AI/Phi-Elothir",0.524881516587678,844
