"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"eren23/slerp-test-turdus-beagle",0.761508482888295,1.93417561543901,500,839,0.71,0.837479696587846,0.71563981042654,844,0.045868672461755,0.045868672461755,0.00210393511340376
"Eric111/Yarn-Mistral-7b-128k-DPO",0.641967426254727,-0.432433224055944,49,839,0.591836734693878,0.645076798262932,0.537914691943128,844,0.104052734311599,0.104052734311599,0.0108269715177202
"ericpolewski/AIRIC-The-Intern",0.549463362253624,-1.00363588755781,30,839,0.633333333333333,0.546353227355736,0.445497630331754,844,0.10396573192187,0.10396573192187,0.0108088734140501
"Eurdem/megatron_v3_2x7B",0.690637825466101,-0.00219288151603546,71,839,0.577464788732394,0.701100436934972,0.612559241706161,844,0.0780785837599399,0.0780785837599399,0.00609626524195795
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.626479272975581,-0.542692464042913,44,839,0.613636363636364,0.627190075505048,0.517772511848341,844,0.10870676112724,0.10870676112724,0.0118171599147748
"ewqr2130/llama_sft_longer",0.488274276602367,-1.27506118117922,30,839,0.4,0.491547735561664,0.443127962085308,844,0.045146314517059,0.045146314517059,0.00203818971447321
"fblgit/UNA-dolphin-2.6-mistral-7b-dpo-laser",0.7133894210335,0.244359191536988,90,839,0.566666666666667,0.731019658540863,0.622037914691943,844,0.091351506341557,0.091351506341557,0.00834509771087152
"fblgit/UNA-POLAR-10.7B-InstructMath-v2",0.696071039811769,0.0279951360705972,74,839,0.635135135135135,0.701965493336045,0.671800947867299,844,0.0242700919444699,0.0242700919444699,0.000589037362993025
"fblgit/UNAversal-8x7B-v1beta",0.678765706387624,-0.120402122869776,62,839,0.580645161290323,0.686595144992557,0.656398104265403,844,0.022367602122221,0.022367602122221,0.000500309624697985
"FelixChao/Capricorn-7B",0.751990576411794,1.71360454833231,500,839,0.704,0.822773137491135,0.703791469194313,844,0.048199107217481,0.048199107217481,0.00232315393656223
"FelixChao/Gemma-10.2B",0.561387045280688,-0.948499089942622,30,839,0.666666666666667,0.55748298021075,0.498815165876777,844,0.062571879403911,0.062571879403911,0.00391524009213758
"FelixChao/NinjaDolphin-7B",0.699059007395333,0.0757833299474371,77,839,0.584415584415584,0.710643710242368,0.603080568720379,844,0.095978438674954,0.095978438674954,0.00921186069048191
"FelixChao/Patronum-7B",0.743359125531748,1.51124303629463,500,839,0.698,0.810260490622823,0.691943127962085,844,0.051415997569663,0.051415997569663,0.00264360480608359
"FelixChao/ShadowNeural-7B-ORPO",0.716722888278857,0.273959541049748,92,839,0.58695652173913,0.732704823649211,0.62085308056872,844,0.095869807710137,0.095869807710137,0.00919102003037864
"fhai50032/BeagleLake-7B",0.726832408561621,0.983714105783464,500,839,0.694,0.775257789920944,0.670616113744076,844,0.056216294817545,0.056216294817545,0.00316027180301313
"fhai50032/RP-Coder-SM3",0.699141180774403,0.0671909943212112,75,839,0.613333333333333,0.707564726007492,0.601895734597156,844,0.0972454461772471,0.0972454461772471,0.00945667680221185
"flammenai/flammen18X-mistral-7B",0.755584483883581,1.81099990895702,500,839,0.708,0.825768088431635,0.706161137440758,844,0.049423346442823,0.049423346442823,0.0024426671736073
"flammenai/flammen20-mistral-7B",0.730026319102451,1.1019622139982,500,839,0.696,0.780212630462997,0.674170616113744,844,0.055855702988707,0.055855702988707,0.00311985955636265
"flammenai/flammen23X-mistral-7B",0.749977555441005,0.760180737634628,180,839,0.655555555555556,0.775768086517455,0.649289099526066,844,0.100688455914939,0.100688455914939,0.0101381651545346
"flemmingmiguel/MDBX-7B",0.750085992303001,1.33798133198201,500,839,0.718,0.797410464726306,0.696682464454976,844,0.053403527848025,0.053403527848025,0.00285193678661479
"frankenmerger/delta-4B-super",0.591008620551538,-0.773107627097859,33,839,0.515151515151515,0.594114432559231,0.51303317535545,844,0.077975445196088,0.077975445196088,0.00608017005352812
"freeCS-dot-org/ThetaWave-7B-v0.1",0.728349318083078,0.400059323186446,106,839,0.622641509433962,0.743635849756757,0.638625592417062,844,0.0897237256660161,0.0897237256660161,0.00805034694739051
"freecs/Zero-7B-test-1",0.687037876403963,-0.0347101976493218,68,839,0.588235294117647,0.695751982234662,0.606635071090047,844,0.080402805313916,0.080402805313916,0.00646461110234747
"FuseAI/FuseChat-7B-Slerp",0.694995624308693,0.0369945394814023,73,839,0.589041095890411,0.705093118531324,0.575829383886256,844,0.119166240422437,0.119166240422437,0.014200592856418
"fzzhang/mistralv1_gsm8k_merged_s",0.643118749859879,-0.43817864455169,54,839,0.666666666666667,0.641498893162343,0.556872037914692,844,0.0862467119451871,0.0862467119451871,0.00743849532135607
"G-reen/EXPERIMENT-DPO-m7b2-1-merged",0.619897447444123,-0.587253648172088,42,839,0.619047619047619,0.619942231374679,0.516587677725118,844,0.103309769719005,0.103309769719005,0.0106729085193938
"g-ronimo/phi-2-OpenHermes-2.5-v2",0.561300038945532,-0.942583229678219,30,839,0.566666666666667,0.561101029264896,0.503554502369668,844,0.057745536575864,0.057745536575864,0.00333454699443445
