"X","a1","d","g","u"
"X1",2.12940376806354,3.75079824540252,0,1
"X2",1.76861821693087,4.65317298837886,0,1
"X3",2.11602645649845,2.15615329055617,0,1
"X5",1.96460195126177,4.35806001543699,0,1
"X6",-0.588076688567196,2.19586256016318,0,1
"X7",1.66633721499232,-1.40956864173037,0,1
"X8",3.22396791457963,4.43225555063354,0,1
"X10",4.05567100802288,7.93188011657317,0,1
"X11",3.58737978665988,10.4140252764291,0,1
"X12",3.27874807737465,3.38395227397482,0,1
"X13",2.13488162529277,4.54310563021534,0,1
"X15",1.35208255374782,-0.75484674208842,0,1
"X16",1.49863037604933,0.0428451912735313,0,1
"X17",0.754018047945932,-1.28025420702277,0,1
"X18",0.221635877723577,0.863864019816484,0,1
"X19",4.55309217292419,7.72747439885109,0,1
"X20",3.07647171404557,4.39900689751419,0,1
"X21",2.28678318422918,2.69612040234475,0,1
"X24",1.18021576863068,4.69217018289208,0,1
"X26",1.97081916055225,-0.356253903772601,0,1
"X27",0.778998947596121,-0.910003774522428,0,1
"X28",-0.165085202297074,-6.85419805358297,0,1
"X29",0.560917824268688,1.10916097082424,0,1
"X30",-0.177431444524322,-1.69989580065279,0,1
"X31",0.951904083684465,-0.370464315723197,0,1
"X32",4.87804507012423,7.46082722681247,0,1
"X35",0.812948391002917,0.76936503762531,0,1
"X36",-0.11168021565603,-5.74653211092723,0,1
"X37",0.608280690047419,0.202386634954459,0,1
"X39",-1.28938281739151,-3.51029519657762,0,1
"X40",-0.274843831920573,-4.20401392387626,0,1
"X41",1.26708919761328,1.82083669192799,0,1
"X42",2.975295393937,6.6580413128001,0,1
"X43",3.80582473477206,8.53558541565992,0,1
"X44",0.161732023780319,-4.59442082606626,0,1
"X45",1.85220035654933,3.00754145814988,0,1
"X48",1.75659026431451,-0.11971067349811,0,1
"X49",2.22738348783951,5.78764506874085,0,1
"X50",4.02872210010369,9.87320494349585,0,1
"X52",1.72251557255565,5.13618772728223,0,1
"X53",0.288150221790225,-4.00461188997786,0,1
"X54",4.85597015908075,8.62497080300443,0,1
"X55",0.345524777023095,2.46957308448926,0,1
"X56",2.07671101063754,4.79093404034559,0,1
"X57",2.57933408721664,2.39720571183417,0,1
"X58",2.03479793750206,4.14601482123731,0,1
"X59",2.12546969998689,-1.64303613394764,0,1
"X60",2.03222209169689,1.55819063212979,0,1
"X61",-0.63283754162956,-2.76030182017433,0,1
"X62",2.81481443921034,4.7510385439269,0,1
"X64",0.333797002158646,1.56803624059182,0,1
"X65",0.393102756374576,-5.82654530361482,0,1
"X67",3.26439645643951,5.67451557941417,0,1
"X68",1.00032499621739,0.350933066703862,0,1
"X69",0.0756924900848471,-0.471976057508398,0,1
"X70",4.28067490820764,8.44962326771929,0,1
"X72",-1.35225978892135,-5.02348520213182,0,1
"X73",1.81353989891633,5.55086722160196,0,1
"X76",2.73741484861859,3.04173128728418,0,1
